‾	surlignéation, trait suscrit, vinculé
🤟🏿	amour, je t’aime, main, peau foncée, signe, signe je t’aime, signe je t’aime : peau foncée
🤘	cornes, cornes avec les doigts, doigts, main, rock
🤘🏻	cornes, cornes avec les doigts, cornes avec les doigts : peau claire, doigts, main, peau claire, rock
🤘🏼	cornes, cornes avec les doigts, cornes avec les doigts : peau modérément claire, doigts, main, peau modérément claire, rock
🤘🏽	cornes, cornes avec les doigts, cornes avec les doigts : peau légèrement mate, doigts, main, peau légèrement mate, rock
🤘🏾	cornes, cornes avec les doigts, cornes avec les doigts : peau modérément foncée, doigts, main, peau modérément foncée, rock
🤘🏿	cornes, cornes avec les doigts, cornes avec les doigts : peau foncée, doigts, main, peau foncée, rock
🤙	appel, appelle-moi, main, signe, téléphone
🤙🏻	appel, appelle-moi, appelle-moi : peau claire, main, peau claire, signe, téléphone
🤙🏼	appel, appelle-moi, appelle-moi : peau modérément claire, main, peau modérément claire, signe, téléphone
🤙🏽	appel, appelle-moi, appelle-moi : peau légèrement mate, main, peau légèrement mate, signe, téléphone
🤙🏾	appel, appelle-moi, appelle-moi : peau modérément foncée, main, peau modérément foncée, signe, téléphone
🤙🏿	appel, appelle-moi, appelle-moi : peau foncée, main, peau foncée, signe, téléphone
👈️	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche
👈🏻	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau claire, peau claire
👈🏼	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau modérément claire, peau modérément claire
👈🏽	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau légèrement mate, peau légèrement mate
👈🏾	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau modérément foncée, peau modérément foncée
👈🏿	dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau foncée, peau foncée
👉️	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite
👉🏻	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite, main avec index pointant à droite : peau claire, peau claire
👉🏼	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite, main avec index pointant à droite : peau modérément claire, peau modérément claire
👉🏽	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite, main avec index pointant à droite : peau légèrement mate, peau légèrement mate
👉🏾	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite, main avec index pointant à droite : peau modérément foncée, peau modérément foncée
👉🏿	dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite, main avec index pointant à droite : peau foncée, peau foncée
👆️	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut
👆🏻	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau claire, peau claire
👆🏼	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau modérément claire, peau modérément claire
👆🏽	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau légèrement mate, peau légèrement mate
👆🏾	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau modérément foncée, peau modérément foncée
👆🏿	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau foncée, peau foncée
🖕	doigt d’honneur, main, majeur
🖕🏻	doigt d’honneur, doigt d’honneur : peau claire, main, majeur, peau claire
🖕🏼	doigt d’honneur, doigt d’honneur : peau modérément claire, main, majeur, peau modérément claire
🖕🏽	doigt d’honneur, doigt d’honneur : peau légèrement mate, main, majeur, peau légèrement mate
🖕🏾	doigt d’honneur, doigt d’honneur : peau modérément foncée, main, majeur, peau modérément foncée
🖕🏿	doigt d’honneur, doigt d’honneur : peau foncée, main, majeur, peau foncée
👇️	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas
👇🏻	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau claire, peau claire
👇🏼	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau modérément claire, peau modérément claire
👇🏽	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau légèrement mate, peau légèrement mate
👇🏾	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau modérément foncée, peau modérément foncée
👇🏿	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau foncée, peau foncée
☝️	index pointant vers le haut
☝🏻	index pointant vers le haut, index pointant vers le haut : peau claire, peau claire
☝🏼	index pointant vers le haut, index pointant vers le haut : peau modérément claire, peau modérément claire
☝🏽	index pointant vers le haut, index pointant vers le haut : peau légèrement mate, peau légèrement mate
☝🏾	index pointant vers le haut, index pointant vers le haut : peau modérément foncée, peau modérément foncée
☝🏿	index pointant vers le haut, index pointant vers le haut : peau foncée, peau foncée
🫵🏻	index pointant vers l’utilisateur : peau claire
🫵🏼	index pointant vers l’utilisateur, index pointant vers l’utilisateur : peau modérément claire, peau modérément claire, pointer, toi
🫵🏽	index pointant vers l’utilisateur : peau légèrement mate
🫵🏾	index pointant vers l’utilisateur, index pointant vers l’utilisateur : peau modérément foncée, peau modérément foncée, pointer, toi
🫵🏿	index pointant vers l’utilisateur : peau foncée
👍️	OK, génial, oui, pouce vers le haut, super
👍🏻	OK, génial, oui, peau claire, pouce vers le haut, pouce vers le haut : peau claire, super
👍🏼	OK, génial, oui, peau modérément claire, pouce vers le haut, pouce vers le haut : peau modérément claire, super
👍🏽	OK, génial, oui, peau légèrement mate, pouce vers le haut, pouce vers le haut : peau légèrement mate, super
👍🏾	OK, génial, oui, peau modérément foncée, pouce vers le haut, pouce vers le haut : peau modérément foncée, super
👍🏿	OK, génial, oui, peau foncée, pouce vers le haut, pouce vers le haut : peau foncée, super
👎️	non, nul, négatif, pouce vers le bas
👎🏻	non, nul, négatif, peau claire, pouce vers le bas, pouce vers le bas : peau claire
👎🏼	non, nul, négatif, peau modérément claire, pouce vers le bas, pouce vers le bas : peau modérément claire
👎🏽	non, nul, négatif, peau légèrement mate, pouce vers le bas, pouce vers le bas : peau légèrement mate
👎🏾	non, nul, négatif, peau modérément foncée, pouce vers le bas, pouce vers le bas : peau modérément foncée
👎🏿	non, nul, négatif, peau foncée, pouce vers le bas, pouce vers le bas : peau foncée
✊️	levé, main, pierre, poing
✊🏻	levé, main, peau claire, pierre, poing, poing levé : peau claire
✊🏼	levé, main, peau modérément claire, pierre, poing, poing levé : peau modérément claire
✊🏽	levé, main, peau légèrement mate, pierre, poing, poing levé : peau légèrement mate
✊🏾	levé, main, peau modérément foncée, pierre, poing, poing levé : peau modérément foncée
✊🏿	levé, main, peau foncée, pierre, poing, poing levé : peau foncée
👊	absolument, battre, boum, correct, coup, d’accord, face, poing, pote, serrer
👊🏻	absolument, battre, boum, correct, coup, d’accord, face, peau claire, poing, poing de face : peau claire, pote, serrer
👊🏼	absolument, battre, boum, correct, coup, d’accord, face, peau modérément claire, poing, poing de face : peau modérément claire, pote, serrer
👊🏽	absolument, battre, boum, correct, coup, d’accord, face, peau légèrement mate, poing, poing de face : peau légèrement mate, pote, serrer
👊🏾	absolument, battre, boum, correct, coup, d’accord, face, peau modérément foncée, poing, poing de face : peau modérément foncée, pote, serrer
👊🏿	absolument, battre, boum, correct, coup, d’accord, face, peau foncée, poing, poing de face : peau foncée, pote, serrer
🤛	gauche, poing, poing à gauche
🤛🏻	gauche, peau claire, poing, poing à gauche, poing à gauche : peau claire
🤛🏼	gauche, peau modérément claire, poing, poing à gauche, poing à gauche : peau modérément claire
🤛🏽	gauche, peau légèrement mate, poing, poing à gauche, poing à gauche : peau légèrement mate
🤛🏾	gauche, peau modérément foncée, poing, poing à gauche, poing à gauche : peau modérément foncée
🤛🏿	gauche, peau foncée, poing, poing à gauche, poing à gauche : peau foncée
🤜	droite, poing, poing à droite
🤜🏻	droite, peau claire, poing, poing à droite, poing à droite : peau claire
🤜🏼	droite, peau modérément claire, poing, poing à droite, poing à droite : peau modérément claire
🤜🏽	droite, peau légèrement mate, poing, poing à droite, poing à droite : peau légèrement mate
🤜🏾	droite, peau modérément foncée, poing, poing à droite, poing à droite : peau modérément foncée
🤜🏿	droite, peau foncée, poing, poing à droite, poing à droite : peau foncée
👏	applaudissements, bravo, main
👏🏻	applaudissements, applaudissements : peau claire, bravo, main, peau claire
👏🏼	applaudissements, applaudissements : peau modérément claire, bravo, main, peau modérément claire
👏🏽	applaudissements, applaudissements : peau légèrement mate, bravo, main, peau légèrement mate
👏🏾	applaudissements, applaudissements : peau modérément foncée, bravo, main, peau modérément foncée
👏🏿	applaudissements, applaudissements : peau foncée, bravo, main, peau foncée
🙌	air, célébration, geste, hourra, levées, mains
🙌🏻	air, célébration, geste, hourra, levées, mains, mains levées : peau claire, peau claire
🙌🏼	air, célébration, geste, hourra, levées, mains, mains levées : peau modérément claire, peau modérément claire
🙌🏽	air, célébration, geste, hourra, levées, mains, mains levées : peau légèrement mate, peau légèrement mate
🙌🏾	air, célébration, geste, hourra, levées, mains, mains levées : peau modérément foncée, peau modérément foncée
🙌🏿	air, célébration, geste, hourra, levées, mains, mains levées : peau foncée, peau foncée
🫶🏻	mains qui forment un cœur : peau claire
🫶🏼	amour, cœur, mains qui forment un cœur, mains qui forment un cœur : peau modérément claire, peau modérément claire
🫶🏽	mains qui forment un cœur : peau légèrement mate
🫶🏾	amour, cœur, mains qui forment un cœur, mains qui forment un cœur : peau modérément foncée, peau modérément foncée
🫶🏿	mains qui forment un cœur : peau foncée
👐	main, mains ouvertes, ouvertes
👐🏻	main, mains ouvertes, mains ouvertes : peau claire, ouvertes, peau claire
👐🏼	main, mains ouvertes, mains ouvertes : peau modérément claire, ouvertes, peau modérément claire
👐🏽	main, mains ouvertes, mains ouvertes : peau légèrement mate, ouvertes, peau légèrement mate
👐🏾	main, mains ouvertes, mains ouvertes : peau modérément foncée, ouvertes, peau modérément foncée
👐🏿	main, mains ouvertes, mains ouvertes : peau foncée, ouvertes, peau foncée
