‾	surlignéation, trait suscrit, vinculé
🫳🏼	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau modérément claire, ouste, peau modérément claire, rejeter
🫳🏽	main paume vers le bas : peau légèrement mate
🫳🏾	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau modérément foncée, ouste, peau modérément foncée, rejeter
🫳🏿	main paume vers le bas : peau foncée
🫴🏻	main paume vers le haut : peau claire
🫴🏼	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau modérément claire, offre, peau modérément claire
🫴🏽	main paume vers le haut : peau légèrement mate
🫴🏾	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau modérément foncée, offre, peau modérément foncée
🫴🏿	main paume vers le haut : peau foncée
🫷	arrêter, attendre, gauche, main qui pousse vers la gauche, pousser, refuser, tape m’en cinq, top là
🫷🏻	arrêter, attendre, gauche, main qui pousse vers la gauche, main qui pousse vers la gauche : peau claire, peau claire, pousser, refuser, tape m’en cinq, top là
🫷🏼	arrêter, attendre, gauche, main qui pousse vers la gauche, main qui pousse vers la gauche : peau modérément claire, peau modérément claire, pousser, refuser, tape m’en cinq, top là
🫷🏽	arrêter, attendre, gauche, main qui pousse vers la gauche, main qui pousse vers la gauche : peau légèrement mate, peau légèrement mate, pousser, refuser, tape m’en cinq, top là
🫷🏾	arrêter, attendre, gauche, main qui pousse vers la gauche, main qui pousse vers la gauche : peau modérément foncée, peau modérément foncée, pousser, refuser, tape m’en cinq, top là
🫷🏿	arrêter, attendre, gauche, main qui pousse vers la gauche, main qui pousse vers la gauche : peau foncée, peau foncée, pousser, refuser, tape m’en cinq, top là
🫸	arrêter, attendre, droite, main qui pousse vers la droite, pousser, refuser, tape m’en cinq, top là
🫸🏻	arrêter, attendre, droite, main qui pousse vers la droite, main qui pousse vers la droite : peau claire, peau claire, pousser, refuser, tape m’en cinq, top là
🫸🏼	arrêter, attendre, droite, main qui pousse vers la droite, main qui pousse vers la droite : peau modérément claire, peau modérément claire, pousser, refuser, tape m’en cinq, top là
🫸🏽	arrêter, attendre, droite, main qui pousse vers la droite, main qui pousse vers la droite : peau légèrement mate, peau légèrement mate, pousser, refuser, tape m’en cinq, top là
🫸🏾	arrêter, attendre, droite, main qui pousse vers la droite, main qui pousse vers la droite : peau modérément foncée, peau modérément foncée, pousser, refuser, tape m’en cinq, top là
🫸🏿	arrêter, attendre, droite, main qui pousse vers la droite, main qui pousse vers la droite : peau foncée, peau foncée, pousser, refuser, tape m’en cinq, top là
👌	OK, main
👌🏻	OK, main, ok : peau claire, peau claire
👌🏼	OK, main, ok : peau modérément claire, peau modérément claire
👌🏽	OK, main, ok : peau légèrement mate, peau légèrement mate
👌🏾	OK, main, ok : peau modérément foncée, peau modérément foncée
👌🏿	OK, main, ok : peau foncée, peau foncée
🤌	geste de la main, interrogation, main qui interroge, sarcastique
🤌🏻	geste de la main, interrogation, main qui interroge, main qui interroge : peau claire, peau claire, sarcastique
🤌🏼	geste de la main, interrogation, main qui interroge, main qui interroge : peau modérément claire, peau modérément claire, sarcastique
🤌🏽	geste de la main, interrogation, main qui interroge, main qui interroge : peau légèrement mate, peau légèrement mate, sarcastique
🤌🏾	geste de la main, interrogation, main qui interroge, main qui interroge : peau modérément foncée, peau modérément foncée, sarcastique
🤌🏿	geste de la main, interrogation, main qui interroge, main qui interroge : peau foncée, peau foncée, sarcastique
🤏🏻	pouce et index rapprochés : peau claire
🤏🏼	peau modérément claire, petit, petite, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau modérément claire, un peu, à deux doigts
🤏🏽	pouce et index rapprochés : peau légèrement mate
🤏🏾	peau modérément foncée, petit, petite, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau modérément foncée, un peu, à deux doigts
🤏🏿	pouce et index rapprochés : peau foncée
✌️	V de la victoire, ciseaux, victoire
✌🏻	V de la victoire, V de la victoire : peau claire, ciseaux, peau claire, victoire
✌🏼	V de la victoire, V de la victoire : peau modérément claire, ciseaux, peau modérément claire, victoire
✌🏽	V de la victoire, V de la victoire : peau légèrement mate, ciseaux, peau légèrement mate, victoire
✌🏾	V de la victoire, V de la victoire : peau modérément foncée, ciseaux, peau modérément foncée, victoire
✌🏿	V de la victoire, V de la victoire : peau foncée, ciseaux, peau foncée, victoire
🤞	chance, croisés, doigts, main
🤞🏻	chance, croisés, doigts, doigts croisés : peau claire, main, peau claire
🤞🏼	chance, croisés, doigts, doigts croisés : peau modérément claire, main, peau modérément claire
🤞🏽	chance, croisés, doigts, doigts croisés : peau légèrement mate, main, peau légèrement mate
🤞🏾	chance, croisés, doigts, doigts croisés : peau modérément foncée, main, peau modérément foncée
🤞🏿	chance, croisés, doigts, doigts croisés : peau foncée, main, peau foncée
🫰🏻	main avec index et pouce croisés : peau claire
🫰🏼	amour, argent, cher, claquer des doigts, cœur, main avec index et pouce croisés, main avec index et pouce croisés : peau modérément claire, peau modérément claire
🫰🏽	main avec index et pouce croisés : peau légèrement mate
🫰🏾	amour, argent, cher, claquer des doigts, cœur, main avec index et pouce croisés, main avec index et pouce croisés : peau modérément foncée, peau modérément foncée
🫰🏿	main avec index et pouce croisés : peau foncée
🤟	amour, je t’aime, main, signe, signe je t’aime
🤟🏻	amour, je t’aime, main, peau claire, signe, signe je t’aime, signe je t’aime : peau claire
🤟🏼	amour, je t’aime, main, peau modérément claire, signe, signe je t’aime, signe je t’aime : peau modérément claire
🤟🏽	amour, je t’aime, main, peau légèrement mate, signe, signe je t’aime, signe je t’aime : peau légèrement mate
🤟🏾	amour, je t’aime, main, peau modérément foncée, signe, signe je t’aime, signe je t’aime : peau modérément foncée
