‾	መስመር ላይ
😮‍💨	መተንፈስ, መንፋት, ማጨስ, ወደ ውጭ መተንፈስ, ወደ ውጭ የሚተነፍስ ገጽ, ድካም, ጭስ, ፊት
🤥	ሐሰት, ቅጥፈት, ውሸት, የሚዋሽ ፊት, ፊት, ፒኖኪዮ
🫨	መሸበር, መንቀጥቀጥ, መደነቅ, መደንገጥ, መፍዘዝ, እብድ, ዋው, የመሬት መንቀጥቀጥ, የሚንቀጠቀጥ ፊት, ድንጋጤ, ፊት
🙂‍↔	ራስ መንቀጥቀጥ አግድሞሽ, አይ፤ መንቀጥቀጥ
🙂‍↕	መነቅነቅ፤ አዎ, ራስ መንቀጥቀጥ አቀባዊ
😌	ሐሳብ, እረፍት, እፎይ ያለ, እፎይ ያለ ፊት, ፊት
😔	ሐሳብ የገባው, እንቅልፍ, እያሰበ ያለ ፊት, እያንቀላፋ ያለ, ገለል ያለ, ፊት
😪	አልቃሽ, እንቅልፉ የመጣ ፊት, እንቅልፍ, ፊት
🤤	ለሀጭ, ለሃጫም, የለሀጭ ፊት, ፊት
😴	እንቅልፍ, የሚያንቀላፋ ፊት, ደህና ደሩ, ፊት
🫩	ረፍዷል, ቦርሳዎች, አሰልቺ, አይኖች, እንቅልፋም, ከዓይኖች በታች ከረጢቶች ጋር ፊት, ደክሞ, ደክሞኛል, ፊት
😷	ቀዝቃዛ, ኮቪድ, የሕክምና ጭንብል ያደረገ ፊት, የታመመ, ዶክተር, ጭንብል
🤒	ምርመራ, በሽተኛ, ቴርሞሜትር, ቴርሞሜትር የያዘ ፊት, ትኩሳት, የታመመ, ፊት
🤕	ቁስል, እራሱ ላይ ፋሻ የጠቀለለ ፊት, ጉዳት, ፊት, ፋሻ
🤢	ማስታወክ, ማቅለሽለሽ, ያስታወከ, ያስታወከ ፊት, ፊት
🤮	መታመም, ማስመለስ, ማስታወክ, ወደ ላይ ማለት, የሚያስታውክ ፊት, ፀያፍ
🤧	መልካም ጤና, ማስነጠስ, የሚያስነጥስ ፊት, ፊት
🥵	ሙቀት, ማላብ, ምላስ ማውጣት, ቀይ ፊት, በሙቀት መሞት, ትኩሳት, ወበቅ, የሙቀት ግፊት, የቀላ ፊት, ፊት
🥶	መንቀጥቀጥ, ሰማያዊ, ቀዝቃዛ, ቅዝቃዜ, በረዶ, በራዳ, በቅዝቃዜ የተጎዳ አፍንጫ, ከዜሮ በታች, ውርጭ, የቀዘቀዘ ፊት, የቀዘቀዙ ጥርሶች, የበረዶ ግግር, ፊት
🥴	መፍዘዝ, ሞቅታ, አጥወልዋይ ፊት, የሰከረ, የተሸዋረረ አይን, የተጥመዘመዘ አፍ, ድንዝዝ, ግልብጥ
😵	ሞትኩ, የዞረበት, የደበተው, የደበተው ፊት, የደከመው, ፊት
😵‍💫	የዞሩ ዓይኖች ያለው ፊት, ፈገግ ያለ፣ ማዞር፣ omg፣ ዋው፣ ግራ የተጋባ
🤯	መደነገጥ, በጣም መደነቅ, በጣም መገረም, በፍጹም አይሆንም, የፈነዳ ጭንቅላት, ፈነዳ
🤠	ሳቅ, እረኛ, ከብት ጠባቂ, ኮፍያ, የሚስቅ የእረኛ ፊት, የከብት ጠባቂ ኮፍያ ፊት, ፈገግታ, ፊት
🥳	ልደት, መልካም ልደት, መደሰት, ቀንድ, በዓል ማክበር, ክብረ በዓል, ኮፍያ, የድግስ ፊት, ድግስ, ጡሩምባ, ፊት
🥸	መነፅር, ራስን መደበቅ, ሰላይ, ሰው, ቅንድብ, አሳሳች ፊት, ጢም, ፂም, ፊት
😎	ብሩህ, አሪፍ, ከምሬ ነው, የፀሐይ መነጽር ያደረገ ሣቂታ ፊት, ፀሐይ, ፊት
🤓	ሊቅ, መነጽራም, መነጽሮች, ሜጋ, ሞኝ, ቂል, ባለሙያ, ብልህ, ተሰጥኦ ያለው, አእምሮ ያለው, የገጠጠ, ያገጠጠ ባለመነጽር ፊት, ጎበዝ, ፊት
🧐	ሀብታም, ሐብታም, ባለሐብት, ባለጠጋ, የሚያምር, የቅንጦት, የአንድ ዓይን መነፅር ያደረገ ፊት, የዓይን ባጅ ያደረገ ፊት
😕	እህም, ግራ የተጋባ, ግራ የተጋባ ፊት, ፊት
🫤	ሜህ, ምንም ይሁን ምን, ሰያፍ አፍ ያለው ፊት, ብስጭት, ተጠራጣሪ, ኡፍፍ, እርግጠኛ አይደለሁም, እንደፈለክ, እንደፈለግሽ, ክብ, የተበሳጨ, የተናደደ, ግራ መጋባት, ጥርጣሬ, ፊት
😟	የተጨነቀ, የተጨነቀ ፊት, የደነገጠ ፊት, ድንጋጤ, ፊት, ፍርሃት
🙁	በከፊል የተኮሳተረ ፊት, የተኮሳተረ, ፊት
☹️	ኩርፊያ, የተኮሳተረ, የተኮሳተረ ፊት, ያኮረፈ, ፊት
😮	ሐዘኔታ, አፍ, አፍ መክፈት, አፍ የከፈተ ፊት, ክፍት, ድንጋጤ, ግርምት, ፊት
😯	ተደመመ, ተገረመ, አንሾካሾከ, አንሾካሿኪ ፊት, ድንጋጤ, ፊት
😲	ሙሉ በሙሉ, ምንድን ነው, በምንም መንገድ አይሆንም, ወጪ, ዞር በል ከዚህ, የተደነቀ ፊት, የተገረመ, የተገረመ ፊት, የደነገጠ, የፈጣሪ ያለህ, ፊት
😳	ሐፍረት, ምን?, አላምንም, የተደበረ, የደነበረ, የደነበረ ፊት, የደነገጠ, ያፈረ, ፊት
🥺	ለምን አይሆንም, ልመና, ማዘን, ምህረት, ቆንጆ እባክህ, ቆንጆ እባክሽ, ትልልቅ አይኖች, እባክህ, እባክሽ, የሙግት ፊት, የሚለምን ፊት, የትንንሽ ውሾች አይን, የውሻ ቡችላ አይኖች, ፊት
🥹	ሀዘን, መሽኮርመም, መቃወም, መከፋት, ማፈር, ምስጋና, ስሜት, አመስጋኝ, አውይይ, አድናቆት, እባክህ, እባክሽ, እንባ ያቀረረ ፊት, ኩራት, የሚያለቅስ, የተቆጣ, የደስታ እንባ
😦	መመሰጥ, መገረም, አፉ የተከፈተ የተኮሳተረ ፊት, አፍ, አፍን ከፍቶ ማዳመጥ, ክፍት, የተመሰጠ, የተኮሳተረ, ፊት
😧	ሐዘን, ሰው, በጣም ያዘነ ፊት, ተማሮ የሚያለቅስ ፊት, ድንጋጤ, ጭንቀት, ፊት
😨	የፈራ, ፈሪ, ፊት, ፍርሃት, ፍርሃት የተሞላ ፊት
😰	ላብ, መረበሽ, ሰማያዊ, ቀዝቃዛ, ችኮላ, አፉ የተከፈተ እና ቀዝቃዛ ላብ ያለው ፊት, አፍ, እጭ, ፊት, ፍርሃት
😥	ላብ ጠብታ, አሰይ, እፎይ ያለ, የተከፋ, የተከፋ ግን የተጽናና ፊት, ፊት
😢	ለቅሶ, እንባ, የሚያለቅስ ፊት, ያዘነ, ፊት
😭	ለቅሶ, ሐዘን, መንሰቅሰቅ, በከባድ የሚያለቅስ ፊት, እንባ, ያዘነ
😱	መገረም, በፍርሃት የሚጮኽ ፊት, ዋው, የሚያስደንቅ, የተሳቀቀ, ድንጋጤ, ጥርስ መንከስ, ጩኸት, ፊት, ፍርሃት
😖	ተስፋ የቆረጠ, እንባው የመጣ, እንባው የመጣ ከንፈሩ የሚንቀጠቀጥ ፊት, የተሰማው, የተበሳጨ, ግራ የገባው, ፊት
😣	ሐሳብን መሰብሰብ, ትኩረት, እራስ ምታት, ጽናት, ጽናትን አንጸባራቂ ፊት, ፊት
😞	የተከፋ, የተከፋ ፊት, የተገፋ, ያዘነ, ፊት
😓	ላብ, ቀዝቃዛ, ቀዝቃዛ ላብ ያለው ፊት, የተከፋ ፊት, ፊት
😩	ምርር ያለው ፊት, በጣም ያዘነ, የተሰላቸ, የደከመው, ፊት
😫	ልቅሶ, ሐዘን, ሸለብታ, የደከመ, የደከመው ፊት, ፊት
🥱	ለሊት, መሰልቸት, መደበር, መድከም, ማንቀላፋት, ማዛጋት, ትንሽ አረፍ ማለት, እንደፈለክ, እንደፈለግሽ, የመኝታ ጊዜ, የሚያዛጋ ፊት, ደህና እደሪ, ደህና እደር, ድካም, ፊት
😤	ማሸነፍ, ከአፍንጫ እንፋሎት የሚወጣው ፊት, ድል, ፊት
😡	ቀይ, ቁጣ, የበገነ ፊት, የተቆጣ, የተናደደ
😠	እብድ, እጅግ የተበሳጨ, የተናደደ, የተናደደ ፊት, ፊት
🤬	መራገም, መሳደብ, መናደድ, ሳንሱር, በአፍ ላይ ምልክቶች ያሉበት ፊት, እብድ, የአፍ ምልክት ያለበት ፊት, ፊት
😈	ማስፈራራት, ሣቅ, ቀንድ ያለው ሣቂታ ፊት, ቀንዶች, ተረት ተረት, የክፋት ሳቅ, የጭራቅ ፊት, ጭራቅ, ፊት
👿	ምናባዊ, ተረት ተረት, ዲያብሎስ, ጋኔን, ጭራቅ, ፊት
💀	ሞት, ተረት ተረት, አደጋ, የራስ ቅል ዓፅም, ጥንቆላ, ጭራቅ, ፊት
☠️	ሞት, አደጋ, አጽም, የራስ ቅል, የራስቅል ከተጣመረ ዓፅም ጋር, የተጣመረ ዓፅም, ጭራቅ, ፊት
💩	መጥፎ ሽታ, አስቂኝ, አዛባ, እበት, የካካ ክምር, ይገማል, ግማት, ጭራቅ, ፊት
🤡	አስቂኝ ተዋናይ, ክላውን, የአስቂኝ ተዋናይ ፊት, ፊት
👹	ተረት ተረት, አስፈሪ, የጃፓን, ጭራቅ, ፊት, ፍጡር
👺	ተረት ተረት, የጃፓን, ጆሮ ቆራጭ, ጭራቅ, ፊት
👻	መንፈስ, ተረት ተረት, የሙት መንፈስ, ጭራቅ, ፊት, ፍጡር
👽️	ምናባዊ, የሌላ ዓለም ፍጡር, ጭራቅ, ፊት, ፍጡር
👾	ምናባዊ, የሌላ ዓለም ጭራቅ ፍጡር, የሌላ ዓለም ፍጡር, ጌም, ጨዋታ, ጭራቅ, ፊት, ፍጡር, ፒክሴሌትድ
🤖	ሮቦት, የሮቦት ፊት, ጭራቅ, ፊት
😺	ሳቅ, አፍ, አፏን የከፈተች ሣቂታ ድመት ፊት, ክፍት, ድመት, ፈገግታ, ፊት
😸	ዓይን, ዓይኖቿ ሣቂታ የሆኑ ፈገግ ያለች ድመት ፊት, ድመት, ፈገግታ, ፊት
😹	ሐሤት, በደስታ የምታነባ ድመት, እንባ, የሐሤት እንባ ያላት ድመት ፊት, ድመት, ፊት
😻	ልብ ቅርጽ ያላቸው ዓይኖች ያላት ሣቂታ ድመት, ሣቅ, ዓይን, ያዩትን መውደድ, ድመት, ፊት, ፍቅር
😼	ምጸት, ምጽታዊ ሣቅ, የብልጥ ሣቅ የምትሥቅ ድመት ፊት, ድመት, ፊት
😽	መሳም, ዓይን, ዓይኖቿን የጨፈነች የምትስም ድመት, ድመት, ፊት
🙀	የተገረመ, የደከመው, የደከማት ድመት ፊት, ድመት, ፊት
😿	ማልቀስ, እንባ, የምታለቅስ ድመት ፊት, ያዘነ, ድመት, ፊት
😾	ወሲብ የጠማት, የምታለከልክ ድመት ፊት, ድመት, ፊት
🙈	መደበቅ, ማየት, ማየት አልችልም, ምስጢር, ምንም ክፉ አላይም, ምንም ክፉ አላይም ጦጣ, ተመልከት, ተመልከች, አይ, አይሆንም, አይደለም
🙉	ምስጢር, ምንም ክፉ አልሰማም, እንስሳ, ክፉ, ክፉ አይሰሜ ጦጣ, የተከለከለ, ጆሮ የለኝም, ጉድ, ጦጣ, ፊት
🙊	መናገር, ምንም ክፉ አልናገርም, አለመናገር, እንስሳ, ክፉ, ክፉ አትናገር, ዝም, የተከለከለ, ጦጣ, ጦጣ አፍ ሸፍኖ
💌	ልብ, የፍቅር ደብዳቤ, ደብዳቤ, ፍቅር, ፖስታ
💘	ልብ, ቀስት, ቀስት የሰነጠቀው ልብ, የተሰነጠቀ, ፍቅር
💝	ልብ, መሳም, ሪባን, ስሜት, በሪባን የታሰረ ልብ, ቫለንታይን, አቅፎ መሳም, እወድሃለሁ, እወድሻለሁ, እዩቤልዩ
💖	ልብ, አንጸባራቂ, አንጸባራቂ ልብ, የጓጓ
💗	ልብ, እያደገ የሚሄድ ልብ, የልብ ምት, የሚያድግ, የጓጓ, የፈራ, ፍቅር
💓	ልብ, መምታት, እየመታ ያለ ልብ, የልብ ምት, የልብ አመታት
💞	ልብ, ልቦች, እጮኛ, የሚሸከረከር, የሚሽከረከሩ ልቦች, የተሳሰሩ ልቦች, ፍቅር
💕	ሁለት ልቦች, ልብ, ፍቅር
💟	ልብ, ወይን ጠጅ ልብ, የልብ ቅርጽ ጌጥ, የልብ ጌጥ
❣️	ልብ, ምልክት, ሥርዓተ ነጥብ, ቃለ አጋኖ, በልብ ቅርፅ የተዘጋጀ የቃለ አጋኖ ምልክት
💔	ልብ, ሰበረ, የተሰበረ, የተሰበረ ልብ
❤‍🔥	በበስጭት ላይ ያለ ልብ
❤‍🩹	የተጠገነ ልብ
❤️	ልብ, ቀይ ልብ, ፍቅር
🩷	143, ልብ, ልዩ, መውደድ, ሮዝ, ሮዝ ልብ, ስሜት, ቆንጆ, እወድሃለሁ, እወድሻለሁ, የሚወደድ, የሚያምር, ጣፋጭ, ፍቅር
🧡	ልብ, ብርቱካናማ, ብርቱካናማ ልብ, ድጋፍ
💛	143, ልብ, ስሜት, ቢጫ, ቢጫ ልብ, ብጫ, የልብ, ፍቅር
💚	ልብ, አረንጓዴ, አረንጓዴ ልብ
💙	ልብ, ሰማያዊ, ሰማያዊ ልብ, ፍቅር
🩵	143, ልብ, ልዩ, መውደድ, ሰማያዊ, ሳያን, ስሜት, ሻይ, ቆንጆ, እወድሃለሁ, እወድሻለሁ, ደማቅ ውሃ ሰማያዊ, ደስ የሚል, ፈዛዛ ሰማያዊ, ፈዛዛ ሰማያዊ ልብ, ፈዛዛ አረንጓዴ-ሰማያዊ, ፍቅር
💜	ልብ, እወድሃለሁ, እወድሻለሁ, ወይን ጠጅ, ወይን ጠጅ ልብ, የምርጦች ምርጥ, ፍቅር
🤎	ልብ, ቡናማ, ቡናማ ልብ, ፍቅር
🖤	ልብ, ሰይጣን, እርጉም, ጥቁር, ጥቁር ልብ
🩶	143, ልብ, ልዩ, ሰሌዳ, ስሜት, ሽበት, ብር, እወድሃለሁ, እወድሻለሁ, ግራጫ, ግራጫ ልብ, ፍቅር
🤍	ልብ, ነጭ, ነጭ ልብ, ድጋፍ, ፍቅር
💋	መሳም, ምልክት, ከንፈሮች, የመሳም ምልክት, የተሳመ ወረቀት, የከንፈር ማህተም
💯	100, መቶ, መቶ ነጥቦች, ሙሉ, ቀጥልበት, በትክክል, ትክክል, እስማማለሁ, እውነት, ውጤት
💢	ንዴት, አስቂኝ, እብድ, የንዴት ምልክት
💥	ቦንብ, አስቂኝ, ግጭት, ፍንዳታ
💫	አስቂኝ, አብሪ ኮከብ, ኮከብ, ድብት
💦	ላብ, አስቂኝ, የላብ ጠብታዎች, የእንባ ጠብታዎች, የውሃ መረጨት, ጂም መስራት, ጠብታዎች, ጣፋጭ ጠብታዎች
💨	መሄድ አለብኝ, መፈርጠጥ, ሩጫ, ሰርዝ, አስቂኝ, እንፋሎት, እየቦነነ ያለ, እግሬ አውጭኝ, ጭስ, ፈስ
🕳️	ቀዳዳ, ጉድጓድ
💬	ንግግር, አረፋ, አስቂኝ, አፉፋ, ወሬ, የንግግር አፉፋ
👁‍🗨	ምስክር, ንግግር, አይን, ዓይን, ዓይን በንግግር አፉፋ, የንግግር ምልክት, የዓይን ምስክር
🗨️	ንግግር, ወሬ, የግራ ንግግር አፉፋ
🗯️	ቁጣ, ንዴት, አረፋ, አፉፋ, እብድ, የቀኝ የንዴት አፉፋ
💭	ሐሳብ, ሐሳብ ገላጭ አፉፋ, አረፋ, አስቂኝ, አፉፋ, ደመና
💤	መተኛት, ማንቀላፋት, አስቂኝ, እንቅልፍ, ዝ ዝ ዝ, ድካም
👋	ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ቻው, አካል, እጅ, እጅ ማወዛወዝ
👋🏻	ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ተወዛዋዥ እጅ: የቆዳ ዓይነት-1-2, ቻው, አካል, እጅ, እጅ ማወዛወዝ, የቆዳ ዓይነት-1-2
👋🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ተወዛዋዥ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቻው, አካል, እጅ, እጅ ማወዛወዝ
👋🏽	ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ተወዛዋዥ እጅ: የቆዳ ዓይነት-4, ቻው, አካል, እጅ, እጅ ማወዛወዝ, የቆዳ ዓይነት-4
👋🏾	ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ተወዛዋዥ እጅ: የቆዳ ዓይነት-5, ቻው, አካል, እጅ, እጅ ማወዛወዝ, የቆዳ ዓይነት-5
👋🏿	ሞገድ, ሰላም, ባይ ባይ, ተወዛዋዥ እጅ, ተወዛዋዥ እጅ: የቆዳ ዓይነት-6, ቻው, አካል, እጅ, እጅ ማወዛወዝ, የቆዳ ዓይነት-6
🤚	አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, የተነሳ እጅ, የተዘረጋ
🤚🏻	አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የተነሳ እጅ, የተዘረጋ
🤚🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, ወደ ኋል የተዘረጋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የተነሳ እጅ, የተዘረጋ
🤚🏽	አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የተነሳ እጅ, የተዘረጋ
🤚🏾	አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የተነሳ እጅ, የተዘረጋ
🤚🏿	አይበሉባ, ወደ ኋል, ወደ ኋል የተዘረጋ እጅ, ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የተነሳ እጅ, የተዘረጋ
🖐️	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, ጣት
🖐🏻	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-1-2, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, የቆዳ ዓይነት-1-2, ጣት
🖐🏼	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, ጣት
🖐🏽	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-4, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, የቆዳ ዓይነት-4, ጣት
🖐🏾	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-5, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, የቆዳ ዓይነት-5, ጣት
🖐🏿	5, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች, ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-6, መዘርጋት, ሰላም, ቁም, አምስት, አካል, እጅ, የቆዳ ዓይነት-6, ጣት
✋️	ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ
✋🏻	ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ, ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
✋🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ, ወደ ላይ የተደረገ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
✋🏽	ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ, ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
✋🏾	ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ, ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
✋🏿	ሰላም, ቁም, አካል, እጅ, እጅ ማውጣት, ወደ ላይ የተደረገ እጅ, ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
🖖	ቩልካን, ቩልካን ሰላምታ, አካል, እጅ, ጣት
🖖🏻	ቩልካን, ቩልካን ሰላምታ, ቩልካን ሰላምታ: የቆዳ ዓይነት-1-2, አካል, እጅ, የቆዳ ዓይነት-1-2, ጣት
🖖🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቩልካን, ቩልካን ሰላምታ, ቩልካን ሰላምታ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አካል, እጅ, ጣት
🖖🏽	ቩልካን, ቩልካን ሰላምታ, ቩልካን ሰላምታ: የቆዳ ዓይነት-4, አካል, እጅ, የቆዳ ዓይነት-4, ጣት
🖖🏾	ቩልካን, ቩልካን ሰላምታ, ቩልካን ሰላምታ: የቆዳ ዓይነት-5, አካል, እጅ, የቆዳ ዓይነት-5, ጣት
