‾	горна црта
😈	бајка, зло, злобно, лице, насмеано лице со рогови, насмевка, рогови, сенка, сказна, фантазија
👿	бајка, демон, лице, лош, луто лице со рогови, немирко, палавко, сказна, фантазија, ѓаволче
💀	бајка, мртво, мртов, сказна, смрт, тело, умрев, череп, чудовиште
☠️	вкрстени коски, коска, коски, костур, мртов, смрт, тело, череп, череп и вкрстени коски, чудовиште
💩	гомна, гомно, гомце, измет, кака, куп измет, миризба, смрдеа, смрдливко, стрип, чудовиште
🤡	кловн, лице
👹	бајка, маска, огар, страшно, суштество, фантазија, чудовиште, ѓавол, џин, џиновско чудовиште
👺	бајка, гнев, гневна маска, гоблин, лице, лоша, маска, суштество, фантазија, чудовиште
👻	бајка, бу, возбудено, дух, лице на дух, ноќ на вештерките, страшно, суштество, фантазија, чудовиште
👽️	бајка, вонземјанин, вселена, лице, нло, сказна, суштество, фантазија, чудовиште
👾	бајка, вонземно чудовиште, вонземјанин, вселенски напаѓачи, игра, играч, нло, освојувачи на вселената, пикселирано, суштество, фантазија
🤖	лице, лице на робот, робот, чудовиште
😺	животно, лице, мачка, насмеана мачка, насмеано лице на мачка со отворена уста, насмеано маче, насмевка, отворена, уста, широка насмевка
😸	животно, лице, лице на широко насмеана мачка со насмеани очи, мачка, насмеани очи, насмевка, широка насмевка, широко насмеана мачка, широко насмеана мачка со насмеани очи
😹	животно, лице, лице на мачка со солзи радосници, маче, мачка, радост, се смее, смеа, солза, солзи радосници
😻	животно, лице, мачка, насмеана мачка, насмеана мачка со очи како срца, насмеано маче со очи како срца, насмевка, око, срце, љубов
