‾	linea in alto, linea sopra, sopralineatura
🤧	faccina, faccina che starnutisce, faccina con fazzoletto, faccina con raffreddore, fazzoletto, malato, raffreddore, starnutire, starnuto
🥵	accaldato, bollente, caldo, caldone, colpo di calore, colpo di sole, faccina, faccina accaldata, febbre, febbricitante, fuoco, lingua di fuori, morendo dal caldo, morendo di caldo, morire, morire di caldo, muoio di caldo, sudare, sudato, sudore
🥶	blu, congelare, congelato, denti che battono per il freddo, faccina blu, faccina congelata, faccina fredda, freddo, gelo, gelone, geloni, ghiaccioli, ghiacciolo, ipotermia, sottozero
🥴	alticcio, bocca ondulata, brillo, faccina con occhi semiaperti, faccina confusa, faccina stordita, frastornata, frastornato, occhi irregolari, occhi storti, stordito, ubriaco, vertigini
😵	crocetta, crocette, emozione, faccina, faccina frastornata, frastornato, malato, occhi, occhi a croce, stanco, testa che gira
😵‍💫	capogiro, confuso, faccina, faccina con occhi a spirale, giramento di testa, ipnotizzato, nausea, problema, stordito, vertigini
🤯	cervello, faccina, faccina con testa che esplode, faccina sorpresa, mindblown, non ci credo, sbalordito, scioccato, sconcertato, sorpesa, sorpreso, stupore, testa che esplode
🤠	cappello, cappello da cowboy, cowboy, faccina, faccina con cappello da cowboy
🥳	cappellino, celebrazione, compleanno, entusiasta, faccina, faccina che festeggia, faccina da festa, faccina da party, faccina festosa, festa, festeggiamenti, festeggiamento, festeggiamo, festeggiare, party, si festeggia, trombetta
🥸	baffi, faccina, faccina travestita, incognito, naso, occhiali, persona, spia, travestimento
😎	cool, faccina, faccina con occhiali da sole, faccina con sorriso e occhiali da sole, fighetto, figo, ganzo, luce, occhiali, occhiali da sole, relax, sole, soleggiato, sorriso, spensierato, vacanza
🤓	faccina, faccina nerd, nerd, occhiali, occhiali da nerd, secchione, studioso
🧐	antico, classe, faccina, faccina con monocolo, fighetto, monocolo, occhiale, ricco, sospetto
😕	confuso, deluso, faccina, faccina confusa, forse, non so, peccato, triste, uffa
🫤	confuso, così così, deluso, dubbioso, faccina perplessa, mah, meh, perplesso, scettico
😟	ansioso, faccina, faccina preoccupata, nodo allo stomaco, preoccupato, preoccupazione, triste
🙁	corrucciato, faccina, faccina leggermente imbronciata, imbronciato, mettere il muso, mi dispiace, triste, un po’ imbronciato
☹️	corrucciato, faccina, faccina imbronciata, imbronciato, mettere il muso, molto imbronciato, triste
😮	bocca, bocca aperta, faccina, faccina con bocca aperta, non ci credo, non mi dire, oh, scioccato, shock, sorpresa, sorpreso, stupito, wow
😯	faccina, faccina sorpresa, incredulo, omg, sbalordito, sorpresa, sorpreso, wow
😲	cosa?, davvero, faccina, faccina stupita, non ci credo, oddio, omg, scioccato, sorpresa, sorpreso, stupito
