‾	винкулум, горна черта
🥹	горд, който сдържа сълзите си, лице, лице, което сдържа сълзите си, плач, сълзи, сълзи от радост, съпротива, тъга, тъжен, чувства, ядосан
😦	Намръщено лице с отворена уста, гримаса, еха, изненада, изплашен, какво, лице, намръщено лице с отворена уста, отворен, уау, уста
😧	Изстрадало лице, еха, забравих, изненадан, изплашен, изстрадал, изстрадало лице, какво, лице, стресиран
😨	Изплашено лице, вина, изплашен, изплашено лице, лице, притеснен, разтревожен, страх
😰	Лице с отворена уста и студена пот, изплашен, лице, лице с отворена уста и студена пот, нервен, пот, син, студен
😥	Лице с разочарование и облекчение, лице, лице с разочарование и облекчение, нервен, облекчен, олекна ми, пот, разочарован, сложно е, тъжен
😢	Разплакано лице, лице, нещастен, плач, разплакано лице, сълза, тъжен
😭	Силно плачещо лице, лице, недоволен, плач, рев, силно плачещо лице, сълза, тъжен
😱	Лице, Лице, крещящо от страх, вик, изплашен, крещящо от страх, крещящо от страх лице, лице, писък, страх, шокиран
😖	Смутено лице, лице, объркан, раздразнен, свивам устни, смутен, смутено лице, тъжен, ядосан
😣	Упорито лице, главоболие, концентриран, лице, упорит, упорито лице
😞	Разочаровано лице, лице, разочарован, разочаровано лице, тъжен
😓	главоболие, изплашен, лице, лице със студена пот, наведено лице с пот, пот, студен
😩	Изтощено лице, гладен, изморен, изтощен, изтощено лице, лице, плачещ, уморен, ядосан
😫	Уморено лице, дрямка, лице, тъжен, уморен, уморено лице
🥱	време за сън, както и да е, лека нощ, лице, прозяващо се лице, прозявка, скука, спи ми се, сънлив, умора
😤	Лице с излизаща от носа пара, бесен, лице, лице с излизащ пушек от носа, пара, победа, пушек, триумф, ядосан
😡	вбесен, гневен, гневно лице, гняв, лице, нацупено лице, сърдит, червен, ядосан, ярост
😠	Ядосано лице, вбесен, гневен, лице, раздразнен, разстроен, сърдит, ядосано лице
🤬	Лице със символи върху устата, бесен, лице със символи върху устата, псувни, ругатни, ядосан
😈	Усмихнато лице с рога, зъл, лице, рога, усмивка, усмихнато лице с рога, фантастичен
