▿	ክፉት ንታሕቲ ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
◁	ክፉት ንጸጋም ዘመልክት ስሉስ ኩርናዕ
◂	ድፉን ንጸጋም ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
◃	ክፉት ንጸጋም ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
◄	ድፉን ንጸጋም ዘመልክት ጠቋሚ
◅	ክፉት ንጸጋም ዘመልክት ጠቋሚ
◆	ድፉን ኣልማዝ
◇	ክፉት ኣልማዝ
◈	ክፉት ኣልማዝ ድፉን ኣልማዝ ዝሓዘ
◉	ኣብ ዉሽጡ ተወሳኺ ዝተደፈነ ዓንኬል, ኣብ ዓንኬል ነጥቢ, ክፉት ዓንኬል ድፉን ዓንኬል ዝሓዘ, ዓይኒ ዓሳ, ዝተኸለለ
◊	ሎዘንገ, ሮምቡስ, ኣልማዝ
○	ቀለቤት, ክፉት ዓንኬል, ዓንኬል
◌	ብነጥብታት ዝተሰርሓ ዓንኬል
◍	ዓንኬል ብትኹል ሕንጻጽ ዝመልአ
◎	ኣብ ዉሽጢ ተወሳኺ ዓንኬል, ዕላማ, ድርብ ዓንኬል
●	ዓንኬል, ዓንኬል መልአ
◐	ጸጋማይ ፍርቁ ዝተደፈነ ዓንኬል
◑	የማናይ ፍርቁ ዝተደፈነ ዓንኬል
◒	ታሕተዋይ ፍርቁ ዝተደፈነ ዓንኬል
◓	ላዕለዋይ ፍርቁ ዝተደፈነ ዓንኬል
◔	ላዕለዋይ የማናይ ርብዒት ዝተደፈነ ዓንኬል
◕	ብዘይካ ላዕለዋይ ጸጋማይ ርብዒት ሙሉእ ዝተደፈነ ዓንኬል
◖	ድፉን ጸጋማይ ፍርቂ ዓንኬል
◗	ድፉን የማናይ ፍርቂ ዓንኬል
◘	ዝተኸደነ ምልክት ነጥቢ
◙	ዝተኸደነ ክፉት ዓንኬል, ድፉን ትርብዒት ክፉት ዓንኬል ዝሓዘ
◜	ላዕለዋይ ጸጋማይ ርብዒት ቁራጽ ዓንኬል
◝	ላዕለዋይ የማናይ ርብዒት ቁራጽ ዓንኬል
◞	ታሕተዋይ የማናይ ርብዒት ቁራጽ ዓንኬል
◟	ታሕተዋይ ጸጋማይ ርብዒት ቁራጽ ዓንኬል
◠	ላዕለዋይ ፍርቂ ዓንኬል
◡	ታሕተዋይ ፍርቂ ዓንኬል
◢	ድፉን ኣብ ታሕቲ ንየማን ዝኹርናዑ ስሉስ ኩርናዕ, ድፉን ኣብ ታሕቲ ንጸጋም ዝኹርናዑ ስሉስ ኩርናዕ
◣	ድፉን ኣብ ታሕቲ ንጸጋም ዝኹርናዑ ስሉስ ኩርናዕ
◤	ድፉን ኣብ ላዕሊ ንጸጋም ዝኹርናዑ ስሉስ ኩርናዕ
◥	ድፉን ኣብ ላዕሊ ንየማን ዝኹርናዑ ስሉስ ኩርናዕ
◦	ክፉት ምልክት ነጥቢ
◯	ቀለቤት, ዓቢ ክፉት ዓንኬል, ዓንኬል
