‾	overstrek
😰	engstelig og svetter, fjes, kaldsvette, syk, åpen munn
😥	fjes, lettet, puh!, skuffet
😢	fjes, gråter, trist, tårer
😭	fjes, gråt, strigråter, tårer
😱	fjes, frykt, livredd, munch, redd, skremt, skrik
😖	fjes, fortvilet, sint, skuffet
😣	bommert, fjes, skuffet, utholdende
😞	fjes, skuffelse, skuffet
😓	ansikt, kaldsvette, kaldsvetter
😩	fjes, sliten, trøtt
😫	fjes, overtrøtt, sliten, søvnig, trøtt fjes
🥱	gjesp, gjespende fjes, kjedelig, sliten, sove, søvn, søvnig, trøtt
😤	fjes, jeg vant, triumf, triumferende
😡	fjes, rasende, raseri, rødt, sinna, sint, sur
😠	fjes, raseri, sinna, sint, sur
🤬	banner, fjes, fjes med symboler over munnen, rasende, sensur
😈	fjes, horn, smil, smilende djevel
👿	djevel, fjes, sint djevel
💀	død, dødninghode, fjes, hodeskalle
☠️	bein, død, dødningehode, fjes, hodeskalle, monster
💩	bæsj, bæsjeklatt, hundebæsj, kuruke
🤡	fjes, klovn, klovnefjes
👹	eventyr, japansk ogre, japansk troll, ogre
👺	ansikt, eventyr, japansk troll, tengu
👻	eventyr, fjes, skapning, spøkelse
👽️	UFO, fjes, romvesen, sci-fi, utenomjordisk
👾	UFO, fjes, rommonster, sci-fi, utenomjordisk
🤖	fjes, monster, robot
😺	fjes, katt, smil, smilende katt med åpen munn, åpen munn
😸	fjes, flirende katt med smilende øyne, katt, smil
😹	fjes, glede, gledestårer, katt, katt med gledestårer, kattefjes med gledestårer, tårer
😻	fjes, forelsket, hjerter, katt, kjærlighet, smilende katt med hjerteøyne, øyne
😼	fjes, ironisk, katt, katt med ironisk smil, smil
😽	fjes, katt, kyss, kyssende, kyssende katt, lukkede øyne
🙀	fjes, jøsses, katt, overrasket, sliten katt, slitent kattefjes
😿	fjes, gråt, gråtende katt, trist katt, tåre
😾	fjes, katt, sint, sur, surmulende katt
🙈	ape, fjes, forbudt, ikke, ser ikke, ser ingenting ondt
