‾	apọju
🐩	Ajá, Ajá kékeré
🐺	Ikooko, Oju Ikooko, ojú, ìkookò
🦊	Kọlọkọlọ, Oju Kọlọkọlọ, kọlọkọlọ, ojú
🦝	rakumi, rakumin, wiwa
🐱	Ojú olóńgbò, ojú, olóńgò, ǹkan ìsìn
🐈️	Olóńgbò, ńkan ìsìn
🐈‍⬛	dúdú, ológbò dúdú, ológbó, àìṣoríire
🦁	Kiniun, Leo, Oju Kiniun, kìnìu, ojú, àmi oṣù ìbí
🐯	Oju Ẹkùn, ojú, ẹkùn
🐅	Ẹkùn
🐆	Àmọ̀tẹ́kùn
🐴	Oju Ẹṣin, ojú, ẹṣin
🫎	erank inuomi, eranko, ẹmọ́
🫏	burò, eranko, ijọ̀gbọ̀n, ketekete, kẹ́tẹ́kẹ́tẹ́
🐎	equestrian, eṣi ìsáré, ìsáré, Ẹṣin
🦄	Oju Ẹṣin Oniwo, eṣin oníwo, ojú
🦓	kẹ́tẹ́kẹ́tẹ́ abìla, onílà
🦌	Agbọnrin
🦬	bison, bísonú, búfálò
🐮	Oju Maalu, maalu, oju
🐂	Taurus, àmi oṣù ìbí, Ẹgbọrọ maalu, ẹgbọrọ màlálù
🐃	omi, Ẹfọn Omi, ẹfọ̀n
🐄	Maalu
🐷	Oju Ẹlẹdẹ, ojú, ẹlẹ́dẹ̀
🐖	abo ẹlẹ́dẹ̀, Ẹlẹdẹ
🐗	Biari, Ẹlẹdẹ
🐽	Imu Ẹlẹdẹ, imú, ojú, ẹlẹ́dẹ̀
🐏	Agbo, Aries, akọ, àgùntàn, àmi oṣù ìbí
🐑	abo, abo àgùntàn, àgùntàn
🐐	Ewúrẹ́, capricorn, àmi oṣù ìbí
🐪	Kẹtẹkẹtẹ, iké, ràkúmí
🐫	Kẹtẹkẹtẹ Onike-Meji, iké, ràkúmí, ràkúmí oníké méjì
🦙	alapaka, llama, owu
🦒	àgùfọn, àwọn àyè
🐘	Erin
🦣	mamoti, mamotì, pare, tobi
🦏	Ẹranko Imado
🦛	hipopo, hipopotámọ́ọ̀sì
🐭	ekú, ojú, Ọju Eku
🐁	Eku
🐀	Ekute
🐹	Oju Eku Oko, eku oko, ojú, ǹkan ìsìn
🐰	Oju Ehoro, ehoro, ojú, ǹkan ìsìn
🐇	Ehoro, ǹkan ìsìn
🐿️	eku ńlá
🦫	bifa, damú
🦔	hedgehog, ẹlẹ́gùń
🦇	Adan, amùjẹ́, àdán
🐻	Oju Biari, biari, oju
🐻‍❄	agbègbè òtútù, funfun, ẹranko beari, ẹranko beari funfun tí ń gbé orí yìnyín
🐨	Koala, bíárì
🐼	Oju Panda, ojú, pándà
🦥	asẹ́wó, dìẹ̀dìẹ̀, àsẹ́wó, ọlẹ́
🦦	ota, peja, sere
🦨	Vote òkété igbó, rùn, skọ́nk
🦘	fo, kangaròó, kangaròó } Australia
🦡	bája oloyin, bájà
🐾	Apa Eekan, ipa, àtẹ́lẹ́ ọwa, ẹsẹ̀
🦃	Tólòtólò, tòlótòló, ẹyẹ
🐔	Adìyẹ, adìye, ẹyẹ
🐓	Akukọ, àkùkọ, ẹyẹ
🐣	pípa, ìkókó, ẹyẹ, Ọmọ Adiyẹ Pipa, ọmọ adìyẹ
🐤	ìkókó, ẹyẹ, Ọmọ Adiyẹ, ọmọ adìyẹ
🐥	ìkókó, ẹyẹ, Ọmọ Adiyẹ ti now Iwaju, ọmọ adìyẹ
🐦️	Ẹyẹ
🐧	Ẹyẹ Oko, ẹyẹ
🕊️	fò, àdàbà, àláfíà, ẹyẹ
🦅	Àṣá, ẹyẹ
🦆	Pẹ́pẹ́yẹ, ẹyẹ
🦢	eye, pepeye, síwan, ẹyẹ swan
🦉	Owiwi, òwìwí, ẹyẹ, ọlọ́ngbọ́n
🦤	dodo, pare, tobi, ẹyẹ dodo
🪶	eye, ina, iye, sare, ìyẹ́
🦩	Vote ẹyẹ flamingò, fìlàmígò, tobi
🦚	eye, fihan, gberaga, okin, ọ̀kín
🦜	aparo, eye, soro, àparò
🪽	angeli, eye, fifo, itan, iye
🐦‍⬛	dúdú, kannakánná, oríṣi kannakánná kan, ẹyẹ, ẹyẹ dúdú, ẹyẹ ìwò
🪿	adie, atioro, eye, lekeleke, tòlotòló
🐦‍🔥	àlá àìlèṣẹ, àtúnbí, àtúnwáyé, ẹyẹ oníná, ẹyẹ ìtàn àìlèkú
🐸	Oju Ọpọlọ, ojú, ọpọlọ, ọ̀pọ̀lọ́
🐊	Ọni
🐢	Adaba, Awun, awun kékeré, ìjàpá
🦎	Aláǹgba, aláǹgbà, ẹranko tí nfí àìyà fà
🐍	Ejò, Ophiuchus, olùgbé, àmi oṣù ìbí
🐲	Drágónì, Oju Dragoni, oju, ìtàn àrõnì
🐉	Drágónì, ìtàn àrõnì
🦕	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	Oju, yọ jade tì ipá, Ẹja Nla, Ẹja Nla Atutọ
🐋	Ẹja Nla
🐬	Dọfini, Ohun lúwë
🦭	alákàsà, kìnìún odò
🐟️	Pisces, àmi oṣù ìbí, Ẹja
🐠	oorùn, Ẹja, Ẹja oorùn
🐡	Ẹja, Ẹja Awura
🦈	Ṣáàkì, ẹja
🐙	Ẹja ẹlẹsẹ mẹjọ
🐚	Ikarahun, Onikaraun Pinpin, àyíká
🪸	kóra, kórà, okun, rifu
🪼	jeli, jo, omi, ẹ̀ja jẹ́lì
🐌	Ìgbín
🦋	Labalaba, arẹwà, kòkòrò, labalábá
🐛	kòkòrò, Ìyanjú Àṣìṣe
🐜	Kokoro, kòkòrò
🐝	Oyin, kòkòrò
🪲	bítù, eèra, kokoro
🐞	Yigbẹ-yigbẹ, kòkòrò, obounboùn, obounboùn kékeré
🦗	tata, tata gígùn
🪳	Eṣinṣin, Irawọ, ayán, eera
🕷️	aláõtakùn, kòkòrò
🕸️	ìtakùn, ìtakùnaláõtakùn
🦂	Scorpius, scorpio, Àkekè, àmi oṣù ìbí
🦟	aisan, arun, farọ́ọ̀sì, iba, ẹfọn, ẹ̀fọ́n
🪰	arun, baje, esinsin, eṣinṣin, idun
🪱	ekolo, ekolo ile, ekòló, kokoro
🦠	maikirobu, maíkírobù, à[san
💐	Odòdó, Àsè
🌸	Iruwe Ṣẹri, Odòdó, ìtànná, ṣẹẹri
💮	Ododo Funfun, Odòdó
🪷	India, esin Hindu, lotosi, ododo
🏵️	Ohun Odòdó ọṣọ, õgbìn
🌹	Ododo, Odòdó
🥀	ododo witi, rẹ̀, òdòdó
🌺	Ododo Ibisikọsi, Odòdó
🌻	Odòdó, Ìtàná, Òòrùn
🌼	Iruwe, Odòdó
🌷	Odòdó, Tulipu
🪻	hayasinti, lafendà, lupini, ododo
🌱	Ihoro eso, wẹ́wẹ́
🪴	dagba, eso pootù, ile, sá, tojú
🌲	Igi, Igi Aruwe
🌳	Igi Igbo, Igi to nta ewe lôdọ dún, igi, ti
🌴	igi, Ọpẹ
🌵	Igi Ọrọ́, õgbìn
🌾	Etí, Idi Ti Irẹsi, Irẹsi, ọkà
🌿	Egbo Igi, Ewéẹ
☘️	õgbìn, ṣámrọkì
🍀	4, Ahoro, Ahoro Elewe Merin, Ewé, mẹ́rin
🍁	Ewe Mapulu, Ewé, Jàbọ, igi
🍂	Irawe, Jàbọ, igi
🍃	Ewe Ti N Fanka Ninu Iji, Ewé, afẹfẹ, fo bákàn, fẹ
🪹	ibi iyeyin ofo, ibi ìyéeyin òfìfo, yiye
🪺	ibi ìyéeyin pẹ̀lú ẹyin, yíyé
🍄	Olu, olú pupa
🪾	igi tí kò léwé, igi tí kò léwẹ́, yàgàn, ìgbà òtútù, ọ̀gbẹlẹ̀
🍇	Girapu, Èso, èso àjàrà
🍈	Èso, Ẹ̀gúsí
🍉	Eso Bara, Èso
🍊	Tanjarini, Èso, ôsán
🍋	Orombo-wẹwẹ Chiffon, èso, ọsàn
🍋‍🟩	agbègbè mímóoru, àwọn èso ọsàn, èso, ọsàn wẹ́wẹ́
🍌	Èso, Ọ̀gẹ̀dẹ̀
🍍	Èso, Ọpẹ-oyinbo
🥭	eka ojo rírọ̀, mángò, èso
🍎	Apu Pupa, apù, pupa, èso
🍏	Apu Alawọ Ewe, apù, àwọ̀ ewé, èso
🍐	Píà, Èso
🍑	Píísì, Èso
🍒	aláwọ̀ ewé, apù, èso, Ṣẹẹri
🍓	Eso dundun, bẹ́rì, èso
🫐	bilìbẹ́rì, búlù, bẹ́rì, bẹ́rì búlù, àwọ́n bẹ́rì búlù
🥝	Eso Kiwi, kíwì, èso, ónjẹ
🍅	Timati, èso, ẹ̀fọ́
🫒	Olifi, oúnjẹ́
🥥	pina colada, àgbọn, ọ̀pẹ
🥑	Afokado, afokádò, èso, ónjẹ
🍆	Igba, èso, ìgbá
🥔	Ànàmọ́, ónjẹ, ẹ̀fọ́
🥕	Kárọ̀tì, kárọ́tì, ónjẹ, ẹ̀fọ́
🌽	Agbado, etí, àgbàdo, àgbàdo yínyín, ọ̀nà ìrújú
🌶️	ata, ata gbígbónọ̀, gbígbónọ̀
🫑	ata, efo, tatase, tàtàsé
🥒	Kùkúmbà, píkù, ónjẹ, ẹ̀fọ́
🥬	efo, kabẹ́ẹ̀jì, tete, ẹ̀fọ́
🥦	ewé ẹlẹ́fọ̀ọ́, kabeji ìbílẹ̀
🧄	fifi awo sí, galilki, gálíìkì
🧅	alùbosà, fifi awo si, àlùbọ́sà
🥜	kóró inú èso, ónjẹ, Ẹpa, ẹ̀fọ́, ẹ̀pà
🫘	edo, efo, ewa, ounje, ẹ̀wà
🌰	Kóró inú èso búránù, õgbìn
🫚	ata, jínjà, oti
🫛	ea, eap, efo, ewa
🍄‍🟫	ewébẹ̀, olú aláwọ̀ pupa rẹ́súrẹ́sú, olú híhù, oúnjẹ, ìṣẹ̀dá
🫜	bíìtì, gbòǹgbò, ohun ọ̀gbìn onígbòǹgbọ̀, túníìpù, ẹ̀fọ́, ọgbà
🍞	Búrẹ́dì, búrẹ́dì gígé
🥐	Kurosanti, búrẹ́dì, faransé, kírísẹ́ntì, ónjẹ
🥖	Burẹdi Baguette, búrẹ́dì, búrẹ́dì gbọọrọ, faransé, ónjẹ
🫓	buredi pelebe, búrẹ́ẹ̀dì pẹlẹpẹ, pita
🥨	lọ́pọ̀, pretzel
🥯	bageli, bágẹ́lì, ibi ipese buredi, ounje aaro
🥞	Atike Ikunju, búrẹ́dì pẹlẹbẹ, crepe, ónjẹ
🧇	aimo nnkan, ounje arro, wafu, wáfù
🧀	Waara Wedge, wàrà
🍖	eegun, Ẹran Ara Egungun, ẹran
🍗	adìye, eegun, ilé àdìyé, Ẹsẹ Adiyẹ, ẹsẹ̀
🥩	ijẹ àgùntàn, ijẹ ẹlẹ́dẹ̀, steak, ìgé ẹran, ìjẹun
🥓	ónjẹ, Ẹran Ẹlẹdẹ, ẹran, ẹran ẹlẹ́dẹ̀
🍔	Hamburger, bọ́gà
🍟	Ounjẹ Ipanu Didun, didin, french
🍕	Písà, gígé, wàrà
🌭	Hot Dog, àlọ́pọ̀ ẹran àti ẹran ẹlẹ́dẹ̀, àlọ́pọ̀ ẹrán, èran ẹlẹ́dẹ̀ papọ̀ pẹ̀lú ẹran
🥪	Búrẹ́dì, búrẹ́dì alákànpọ̀
🌮	Taco, ónjẹ mẹ́síkò
🌯	Burito, wépò, ónjẹ mẹ́síkò
🫔	kopọ̀, tamalé, ti mesiko
🥙	Burẹdi Afunpọ Pẹlẹbẹ, búrẹdì àfúnpọ̀ pẹlẹbẹ, falafe, gyro, kebab, stuufe, ónjẹ
🧆	ewa, faláfẹ́l]i
🥚	ónjẹ, Ẹyin
🍳	Dídáná, dídín, páànù, ẹyin
🥘	Paanu Ijẹun kekere, kásẹrọ̀, pàẹ́là, páànù ṣálò, ónjẹ, ṣálò
🍲	Ikoko Ounjẹ, ìkòkò, ọbẹ̀
🫕	fóndù, pọ́ọ̀tù, wara
🥣	abọ́ pẹ̀lú ṣíbí, congee, àgbàdo, ónjẹ àrọ̀
🥗	Saladi Elewe, eléwé, sàláádì, ónjẹ
🍿	Gúgúrú
🧈	bọ́tà, mílíkì
🧂	ero ounje, iyo, iyọ̀
🥫	agolo, ónjẹ inú agolo
🍱	Apoti, Apoti Bento, Bento
🍘	Biskit Irẹsi, bisikí, ìrẹ̀sì
🍙	Irẹsi Roboto, bọ̀ọ́lú, japanese, ìrẹsì
🍚	Irẹsi, Irẹsi Sise, Sise
🍛	irẹsi, irẹsi kọri, kọri
🍜	Abọ ibọhun, abọ́, núdù, oru, rámẹ̀n
🍝	Spagẹti, pásítà
🍠	Anamọ dindin, dídùn, yíyan, ànàmọ́
🍢	Oden, igi, keháb, síkíwà, ónjẹ omi
🍣	Sushi
🍤	Ede Dindin, dídín, tẹ́mpúrà, ṣírímpù, ẹdẹ
🍥	Eja dindin Pẹlu Swirl, swirl, àkàrà òyìnbó, ónjẹ oní fíláwà
🥮	akara osupa, ayeye, igba ogbele, àkàrà òsùpá
🍡	Dango, igi, japanese, skewer, àdídùn, ónjé dídùn
🥟	empanada, gyōza, jiaozi, pierogi, potsticker, ìgbẹ́
🥠	asọtẹ́lẹ̀, kúkì fortune
🥡	péèlìa ọ́yẹ́stà, àpótí àgbéjáde
🦀	Alákàn, Cancer, àmi oṣù ìbí
🦞	akàn, alakan, ounje omi
🦐	Ede, edé, kékeré, ónjẹ, ẹja inú ìkarahun
🦑	Sikidi, mólúsì, síkídì, ónjẹ
🦪	alákàn ńlá, bibe somi, pálì
🍦	Wara Didi Rirọ, fẹ́lẹ́, kírímù, yìnyín, yìnyín dídùn, àdídùn, ónjẹ dídùn
🍧	Yinyin Gige, fá, yìnyín, àdídùn, ónjẹ dídùn
🍨	Wara Didi, kírímù, yìnyín, àdídùn, ónjẹ dídùn
🍩	Dónọ́ọ̀tì, dónọtì, àdídùn, ónjẹ dídùn
🍪	Kuki, àdídùn, ónjẹ dídùn
🎂	ayẹyẹ, Àkàrà òyìnbó ọjọ́ìbí, àdídùn, àkàrà òyìnbó, ónjẹ dídùn, ónjẹ oní fíláwà, ọjọ́ìbí
🍰	Akara kekere, gígé, àdídùn, àkàrà òyìnbó, ónjẹ dídùn, ónjẹ oní fíláwà
🧁	akara oyinbo, ile ipese buredi
🥧	kíkún, róbótó, àkàrà
🍫	ilé otí, àdídùn, ónjẹ dídùn, Ṣokoleti Didi, ṣokolétì
🍬	Kandi, àdídùn, ónjẹ dídùn
🍭	Suuti Onigi, káńdì, àdídùn, ónjẹ dídùn
🍮	Kọ́sítàdì, púdínì, àdídùn, ónjẹ dídùn
🍯	Koko Oyin, oyin, àdídùn, ìkòkò
🍼	Igo Ikoko, mílíkì, ohun mímu, ìgò, ìkókó
🥛	Ife Wara, gílásì, mu, mílíkì
☕️	Tii Gbigbona, gbígóná, kọfí, mímu, ohun mímu oní kòkó, tíì, yíyọ oru
🫖	mu, pootu, pọ́ọ̀tù tíì, tíì
🍵	Ife Tii laini Ọwọ, ife, mímu, o ohun mímu oní kòkó, tíì
🍶	Sake, ife, ilé ọtí, ohun mímu, ohun mímu oní kòkó, ìgò
🍾	Igo Olori Yiyọ, ilé ọtí, ohun mímu, ìdérí ọtí, ìgò, ìṣí ọtí
🍷	Gilasi Waini, gílásì, ilé ọtí, ohun mímu, ohun mímu oní kòkó, wáìnì
🍸️	Gilasi Ounjẹ Amulumala, ilé ọtí, ónjẹ àmúlùmálà
🍹	Ohun Mimu Akoko Oorun, ilé ọtí, ohun mímu, ọlọ́pẹ
🍺	Imuti, ilé ọtí, ohun mímu, ìmutí, ọtí
🍻	Imuti Dídún, dídún, ilé ọtí, ìmutí, ímu, ọtí
🥂	Gilasi Didun, ayẹyẹ, dún, gílásì, ohun mímu
🥃	Gilasi Tọnbila, gílásì, tọ́mbílà, ṣọ́ọ̀tí, ọtí, ọtí líle
🫗	dà, dída nnkan olómi, gilaasì, mu, nǹkan olómi dídà, ofo
🥤	ife pẹ̀lú sírọ̀, sódà, ẹlẹ́rìndòdò
🧋	tíì, tíì bọ́bù, wara
🧃	dun, ibi, ibi oúnjẹ́, júùsì, àpótí ohun mímu
🧉	mu, ẹgbẹ́
🧊	omi dídì, tútù, ìrísín àpótí, ọ̀kìtì yìyín inún òòkun
🥢	igi ìjẹun, áṣì, ìlàrí
🍽️	fọ́ọ̀kì, fọ́ọ̀kì àti ọ̀bẹ pẹ̀lú àwo, àwo, ónjẹ sísè, ọ̀bẹ
🍴	Fọki Ati Ọbẹ, fọ́ọ̀kì, ónjẹ sísè, ọ̀bẹ
🥄	ǹkan ilé ìdáná, Ṣíbí
🔪	hocho, irinṣẹ́, irinṣẹ́ ìjagun, àsè, ò̩bẹ, ọbẹ iyara-idana
🫙	eroja ounje, ibi idáná, ife nla, sofo
🏺	Amphora, Aquarius, dídáná, ife omi, irinṣẹ́, irinṣẹ́ ìjagun, ohun mímu, àmi oṣù ìbí
🌍	Gulobu To N Ṣafihan Uropu-Afirika, ayé, gílóbù, àgbáyé, áfíríkà, írópù
🌎️	Gulobu To N Ṣafihan Amẹrika, ayé, gúlóbù, àgbáyé, àwọn amẹ́ríkà
🌏	Gulobu To N Ṣafihan Aṣia-Ọsiteria, ayé, gúlóbù, àgbáyé, áṣíà, ọsiteria
🌐	Gulobu Pẹlu Mẹridiani, ayé, gúlóbù, mẹ̀rídíánì, àgbáyé
🗺️	máàpù, máàpù àgbáyé, àgbáyé
🗾	Maapu Ti Japanu, jàpánù, máàpù
🧭	atọ́nà, lílẹ̀mọ́, sísọfún
🏔️	yìnyín, òkè, òkè yìnyín, òtútù
⛰️	òkè
🌋	Ifẹ-ilẹ, ìfẹ̀ ilẹ̀, òkè
🗻	Oke Fuji, fújì, òkè
🏕️	pípàgọ́
🏖️	agbòrùn, ọ̀sà, ọ̀sà pẹ̀lú agbòrùn
🏜️	aṣálẹ̀
🏝️	aṣálẹ̀, erékùṣù, erékùṣù aṣálẹ̀
🏞️	páàkì, páàkì orílẹ̀
🏟️	pápá ìṣeré
🏛️	ilé tó kílásíkà, kílásíkà
🏗️	Iṣẹ́ ọnà, iṣẹ́ ọnà ilé
🧱	bíríkì, yẹ̀pẹ̀, àwọn bíríkì, ògiri
🪨	le, wúwo, àpáta, òkúta
🪵	igi, lúnbà, tínbà
🛖	abà, ilé, ilé onípo
🏘️	àwọn ilé
🏚️	ilé, ilé àìdára, àìdára
🏠️	Ilé, ara ilé
🏡	Ile Pelu Ọgba, ilé, ọgbà
🏢	Ile Ibi-iṣẹ, ilé
🏣	Ile-iṣẹ Ifiweranṣẹ Japani, Japani, ìfiránṣẹ́
🏤	Àpótí ÌfìwéRánṣẹ́, ìrópù
🏥	Ile-iwosan, dókítà, òògùn
🏦	Ile-ifowopamọsi, ilé
🏨	Ilé ìtura, ilé
🏩	Ilé ìtura Ifẹ, ilé ìtura
🏪	Ibi, Ibi Itura, Itura
🏫	Ilé ìwé, ilé
🏬	itaja, ẹka, ẹka itaja
🏭️	Ilé-iṣẹ́, ilé
🏯	Ile Nla Japanisi, ilé ńlá, japanese
🏰	Ile Nla, íròpù
💒	ilé ìjọsìn, Ìgbéyàwó, ìfẹ̀
🗼	Ile Iṣọ Tokiyo, Tokiyo, ile iṣọ
🗽	Ere Ominira, ère, òmìnira
⛪️	àgbélèbú, Ṣọọṣi, ẹlẹ́sìn ìgbàgbó̩, ẹ̀sìn
🕌	Mùsùlùmí, Mọ́ṣáláṣí, Ìmàle, ẹ̀sìn
🛕	hindù, ibi ijọ́sìn, ilé ìjọ́sìn Hindu
🕍	Eẹlẹ́sìn júù, Sínágọ́gù, júù, tẹ́pílì, ẹ̀sìn
⛩️	ilé òrìṣà, ilé òrìṣà ṣíntò, ṣíntò, ẹ̀sìn
🕋	Kaaba, Mùsùlùmí, Ìmàle, ẹ̀sìn
⛲️	Orísun omi
⛺️	pípàgọ́, Àgọ́
🌁	Ojuju, kùrukùru
🌃	Aṣalẹ Pẹlu Awọn Irawọ, alẹ́, ìràwọ̀
🏙️	fífẹ̀ìlú, ìlú
🌄	Lila Oorun Lori Awọn Oke, àárọ̀, ìla òrùn, òkè, òrù
🌅	Ìlà oòrùn, àárọ̀, òrùn
🌆	Iwo Ilu Ni Aṣalẹ, oníbùú, àṣàlẹ́, ìlú, ìwọ òrùn, òrùn
🌇	Ìwọ̀ oòrùn, àṣálé, òrún
🌉	Afara Ni Aṣalẹ, afárá, alẹ́
♨️	gbígbóná, omi àtilẹ̀wá, oru
🎠	aládùn, Ẹṣin Aladun, ẹṣin
🛝	ibi eré, páàkì eré, ṣeré
🎡	Kẹ̀kẹ́ Ferris, ferris, páàkì ìgbafẹ́, róboto
🎢	Kẹkẹ Olobiri, olóbírí, páàkì ìgbafẹ́, yíyí
💈	Opo Onigbajamọ, agerun, gérun, òpó
🎪	Aba, Aba Ere-idaraya, Ere-idaraya
🚂	Yiyi, ojú irin, òru, ẹ̀rọ, ọks ojú irin
🚃	bọ́ọ̀sì gígùn, ojú irin, ìná, Ọkọ Oju-irin, ọkọ̀, ọkọ̀ ojú irin, ọ̀nà ọkọ̀ ojú irin
🚄	aré, ojú irin, Ọkọ oju-irin Alare, ọkọ̀ ojú irin, ọkọ̀ ojú irin abẹ́ ilẹ̀
🚅	aré, ojú irin, Ọkọ oju-irin Alare Pẹlu Imu Ọta, ọkọ̀ ojú irin, ọkọ̀ ojú irin abẹ́ ilẹ̀, ọta
🚆	Ṣèdánilẹ́kọ̀ọ́, ọkọ Oju-irin
🚇️	Àjà ilẹ̀, ọ̀nà ọkọ̀ ojú irin
🚈	Ọkọ oju-irin kekere, ọkọ Oju-irin
🚉	Ibudo, ojú-irin, ọkọ ojú-irin
🚊	Tiramu, Ọkọ Akero Oniwiwọ
🚝	Oju irin kan, nṣe ọkọ́
🚞	Reluwe Oloke, òké, ọkọ ojú-irin, ọkọ̀
🚋	Ọkọ Tiramu, ọkọ̀, ọkọ̀ akérò oníwíwọ́, ọkọ̀ ojú irin gígùn
🚌	nṣe ọkọ́, Ọkọ Akero
🚍️	tí ń bọ̀, Ọkọ Akero Ti Nbọ, ọkọ̀ akérò
🚎	Ọkọ Akero Oniwiwọ, ọkọ̀ akérò, ọkọ̀ akérò oníwíwọ́, ọkọ̀ ojú irin gígùn
🚐	Ọkọ Akero, Ọkọ Akero Kekere
🚑️	nṣe ọkọ́, Ọkọ Alaisan
🚒	iná, Ẹnjini Onina, ẹ̀rọ, ọkọ̀ akkrù ńlá
🚓	olùṣọ́, Ọkọ Ọlọpa, ọkọ̀, ọlọ́pàá
🚔️	tí ń bọ̀, Ọkọ Ọlọpa Ti Nbọ, ọkọ́, ọlọ́pàá
🚕	Taasi, nṣe ọkọ́
🚖	Taasi, Taasi Ti Nbọ, Ti Nbọ
🚗	Ọko, ọkọ́
🚘️	tí ń bọ̀, Ọkọ Ti Nbọ, ọkọ̀
🚙	ìgbafẹ́, òks agbafẹ́ tó dára, Ọkọ Agbafẹ Daradara
🛻	gbé, gbígbé nǹkan, ọkọ̀ ńlá, ọkọ̀ ńlá fún gbígbé nǹkan
🚚	ifijiṣẹ, Ọkọ Akẹru
🚛	díẹ̀, Ọkọ Nla Akẹru, ọkọ̀ akérò ńlá, ọkọ̀ akẹ́rù
🚜	Katakata, nṣe ọkọ́
🏎️	ìdíje eré, ọkọ̀, ọkọ̀ ìdíje eré
🏍️	alùpùpù, ìdíje eré
🛵	alupupu, alupupu onimọto, onimọto
🦽	aga ìgbérìn ọlọ́wọ́, aye irin
🦼	ní ọ̀nà fún gbígbà, àga ìgbérìn oníná
🛺	túùkì, ẹ̀rọ ríìkì
🚲️	Kẹ̀kẹ́
🛴	Alupùpù ẹlẹ́sẹ̀ méjì, alupupu kekere, gbá
🛹	bọ́ọ̀dù, bọ́ọ̀dù ti síkéètì
🛼	are, saré, síkéètì, síkéètì ti ó s, síkéètì ti ó s;are
🚏	Ibudokọ, dúró, ibùdókọ̀, ọkọ̀ akérò
🛣️	ojú ọ̀nà ọkọ̀, pópó, ọ́nà
🛤️	ojú-irin, ọkọ ojú-irin, ọ̀nà ojú-irin
🛢️	epo, àgbá, àgbá epo
⛽️	afa epo, epo, gáàsì, ibùdó epo, pọ̀mpù epo
🛞	keke, sakù, táyà, yí
🚨	Ina Ọkọ Ọlọpa, iná, yípo, ẹran ẹlẹ́dẹ̀, ọkọ̀, ọlọ́pàá
🚥	Ina Adariko Onidubu, adarí, adaríkọ̀, iná
🚦	Ina Adariko Olopo, adarí, adaríkọ̀, iná
🛑	Aami Idaduro, Onígun mẹ́jọ, dúró, àmì
🚧	Iṣẹ́ ọnà, ìdènà
⚓️	irinṣẹ́, Ìdákòró, ọkọ̀ ojú omi ńlá
🛟	gbayọ, ríngì, wẹ̀, àbò
⛵️	ibi ìgbafẹ́, okun, Ọkọ kekere, ọkọ̀ ojú omi, ọkọ̀ ojú omi ibi ìgbafẹ́
🛶	obele, Òbèlé, ọkọ̀ ojú omi
🚤	Ọkọ omi alare, ọkọ̀ ojú omi
🛳️	èrò, ọkọ̀ ojú omi ńlá, ọkọ̀ ojú omi ńlá èrò
⛴️	ferí, èrò, ọkọ̀ ojú omi
🛥️	ọkọ̀ ojú omi, ọkọ̀ ojú omi tó ń lo ẹ̀rọ
🚢	èrò, Ọkọ̀ ojú omi ńlá, ọkọ̀ ojú omi
✈️	bàlú òfurufú, ọkọ̀ òfurufú
🛩️	bàlú òfurufú, bàlú òfurufú kékeré, ọkọ̀ òfurufú
🛫	Ibi Idagbere Baalu, bàlú òfurufú, ìjáde, ṣàyẹ̀wò wọlé, ọkọ̀ òfurufú
🛬	Ibi Ikaabọ Baalu, bàlú òfurufú, bíbalẹ̀, wíwọlé, àwọn ìwọlé, ìwọlé, ọkọ̀ òfurufú
🪂	fo lóké, párás, páráṣútì, utì
💺	Ìjòkó, àga
🚁	nṣe ọkọ́, Ẹlikọputa
🚟	olókè, Ọkọ oju irin, Ọkọ oju irin Oloke
🚠	gòndólà, wáyà, òkè, Ọkọ oniwaya Ori-oke
🚡	Tramway Eriali, gòndólà, wáyà, éríklì, ọkọ̀, ọ̀nà ọkọ̀ ojú irin
🛰️	alátagbà, ààyè
🚀	Rọ́kẹ̀tì, ààyè
🛸	UFO, àwọ kékeré tí ń fò
🛎️	agogo, agogo alágbágbẹ́rùn ilé ìtura, alágbágbẹ́rùn ilé ìtura, ilé ìtura
🧳	kíkó ẹrù, rín ìrínájò, ẹrù
⌛️	Gilasiakoko, adíwọ̀n àkókò, iyẹ̀pẹ̀
⏳️	Gilasiakoko Pẹlu Iyẹpẹ Ti N fẹ, adíwọ̀n àkókò, gílásì àkókò, ìyẹ̀pẹ̀
⌚️	Ago
⏰️	Ago, Ago Itaniji, Itaniji
⏱️	ago, ago aláfọwọ́yí
⏲️	adíwọ̀n àkókò, ago, ago adíwọ̀n àkókò
🕰️	ago, ago àgbélẹ̀
🕛️	00, 12, 12:00, Ago Mejila, ago, lù gérégé, méjìlá
🕧	12, 12:30, 30, Ago Mejila Aabọ, ago, méjìlá, ọgbọ̀n
🕐️	00, 1, 1:00, Ago Kan an, ago, lù gérégé, ìkan
🕜	1, 1:30, 30, Ago kan an aabọ, ago, ìkan, ọgbọ̀n
🕑️	00, 2, 2:00, Ago Meji, ago, lù gérégé, méjì
🕝	2, 2:30, Ago Meji Aaabọ, ago, méjì, ọgbọ̀n
🕒️	00, 3, 3:00, Ago Mẹta, ago, lù gérégé, mẹ́tàa
🕞	3, 3:30, Ago Mẹta Aabọ, ago, mẹ́tàa, ọgbọ̀n
🕓️	00, 4, 4:00, Ago Mẹrin, ago, lù gérégé, mẹ́rìn
🕟	30, 4, 4:30, Ago Merin Aabọ, ago, mẹ́rìn, ọgbọ̀n
