‾	надчеркивание, ҫӳлтен йӗр
🎏	вымпелсем, карпов евӗрлӗ вымпелсем, карпсем, патак, патак ҫине пулӑ ҫакнӑ тетте, пулӑ, пулӑсем, пӗчӗк ялав
🎐	шӑнкӑрав, ҫил, ҫил музыки
🎑	Уйӑх уявӗ, праҫник, хӑйу
🧧	Китай, конверт, парне, традици, укҫа, хӗрлӗ, хӗрлӗ конверт, ӑнӑҫу
🎀	бант, бантик, лента, тумтир, уяв, хӑйу, ҫӳҫ
🎁	бант коробки, бантик, коробка, парне, праҫник, упаковка, ҫуралнӑ кун
🎗️	асӑнмалӑх лента, лента
🎟️	билет, билетсем, квиток, концерт, кӗмелли, пропуск, пулӑшу ӗҫӗсем, театр, транспорт
🎫	билет, концерт, кӗмелли билет, пропуск, самолет, театр, транспорт, фестиваль
🎖️	вӑрҫӑ, медаль, награда, орден, тава тивӗҫлӗ, тумтир, ҫар медалӗ
🏆️	кубок, приз, трофей, чемпион, ҫӗнтерӳ
🏅	вырӑн, медаль, награда, олимп ылтӑн, спорт, спорт медалӗ, ылтӑн медаль, ҫитӗнӳ, ҫӗнтерӳ
🥇	медаль, награда, пӗрремӗш вырӑн, чемпион, ылтӑн, ылтӑн медаль, ҫӗнтерӳ
🥈	иккӗмӗш вырӑн, кӗмӗл, кӗмӗл медаль, медаль, ҫӗнтерӳҫӗ, ӑмӑрту
🥉	бронза, бронза медаль, виҫҫӗмӗш вырӑн, медаль, награда, ҫӗнтерӳҫӗ
⚽️	мечӗк, спорт, футбол, футбол мечӗкӗ
⚾️	бейсбол, пӳске, спорт
🥎	бита, вӑйӑ, йӑтса пыр, мечӗк, перчетке, софтбол, спорт, хӗстер, ҫемҫе
🏀	баскетбол, кӑшӑл, мечӗк, спорт
🏐	волейбол, вӑйӑ, мечӗк
🏈	америка, америка футболӗ, вӑййи, мечӗк, спорт, супер бол, футбол
🏉	мечӗк, регби, спорт, футбол
🎾	пӳске, ракетка, спорт, теннис
🥏	вӑйӑ, вӗҫекен диск, вӗҫекен турилкке, диск, пушӑ, спорт, фрисби
🎳	боулинг, вӑйӑ, спорт, страйк, шар
🏏	вӑйӑ, крикет, крикет вӑййи, пӳске, ыткӑч
🏑	вӑйӑ, клюшка, курӑк, курӑк ҫинчи хоккей, хакей, хоккей, чупу
🏒	вӑйӑ, клюшка, клюшка тата шайба, пӑр, спорт, хоккей, шайба
🥍	вӑйӑ, гол, клюшка, лакросс, мечӗк, ракетка, спорт
🏓	мечӗк, пинг-понг, пӳске, ракетка, сӗтел, теннис, шарик
🏸	бадминтон, волан, вӑйӑ, ракетка, спорт
🥊	апперкот, бокс, бокс перчетки, боксер перчетки, джеб, кросс, перчетке, свинг, спорт, удар, хук
🥋	боевой искусствӑсем, дзюдо, карете, кӑвак пиҫиххи, кӗрешӳ, спорт, спорт кимоно, спорт кимонӗ, спорт форми, тхэквондо, форма
🥅	тетел, хапха, хапха тетелӗ
⛳️	вӑйӑ, гольф, спорт, уй, уйӑх, ялав
⛸️	ботинка, каток, коньки, лезви, пӑр, фигурӑллӑ ярӑну, хӑвӑртлӑх
🎣	вӑлта, вӑлта йӗппи, пулӑ, спинг
🤿	дайвинг, ишев, маска, спорт, трубка, чӑмас, чӗлӗмлӗ маска, шыв айӗнчи
🎽	бег, майка, спорт, спорт форми, футболка, чупма атлетика, чупмалли кӗпешке
🎿	йӗлтӗр, йӗлтӗрпе ярӑнма, йӗлтӗрсем, спорт, тайлӑм, трасса, ту йӗлтӗрӗсем, тусем, юр
🛷	спуск, ту, юр, ярӑнни, ҫуна, ҫунашка
🥌	вӑйӑ, керлинг чулӗ, чул
🎯	дартс, доска, дротик, дротиксем, лекни, мишень, пӑнчӑ, тӗллев, ҫаврака мишень
🪀	йо-йо, йойо, тетте
🪁	вӑйӑ, вӗҫмелле, пӑсланмалла, сывлӑш ҫӗленӗ, хут ҫӗлен, ҫил, ҫӗлен
🔫	вутлӑ, пистолет, пӑшал, револьвер, тетте, шыв пистолетне, шыв пистолечӗ
🎱	8, бильярд, вӑйӑ, пуля, саккӑрка, хура шар, шар
🔮	асамлӑх, маги, пуласлӑх, хрусталь, хрусталь шар, шар, юмӑҫ
🪄	асам, асам патакки, асамҫӑ, патакки, хайлаҫӑ, ӑрӑмҫӑ
🎮️	вӑйӑ шакмакӗ, курмаллӑ вӑйӑ
🕹️	видео, видеоигра, вӑйӑ, вӑйӑ приставки, джойстик, компьютер, приставка, чойстик
🎰	автомат, азарт, азартлӑ вӑйӑсем, виҫӗ ҫич, выляса илни, вӑйӑ автомачӗ, казино, укҫа, ӑнӑҫу
🎲	вылямалли шӑмӑ, вӑйӑ, йӑпану, шакмак, шакмаксем
🧩	вӑйӑ, головоломка, мозаика, пух, пушӑ, пуҫватмӑш татки, пӗр татӑк, хушӑк, хӗве
🧸	мишка, плюш мишка, плюш тетте, тетте, упа ҫури, ҫемҫе тетте
🪅	вечеринка, мексикански, пинйата, пиньята, праҫник, пылак уяв
🪩	вечеринка, диско, диско-шар, дискотека, куҫкӗски, ташӑсем йӑлтӑртатни, тӗкӗр шарӗ, тӗкӗрлӗ шар
🪆	вырӑс, матрешка, пукане, россия, тетте
♠️	вӑйӑ, карттӑсем, курак карт тӗсӗ, маҫ, пик, пике, пиков, покер, сӑнӑ, сӗрӗш, хура чӗре
♥️	игра, карты, масть, покер, черви, червы, чӗрӗ карт тӗсӗ
♦️	вӑйӑ, карт, кирпӗч, кирпӗч карт тӗсӗ
♣️	вӑйӑ, карттӑсем, маҫ, покер, сӗрӗш, треф, трефсем, хӗрес, хӗрес карт тӗсӗ
♟️	вӑйӑ, пешка, фигура, шахмат, шахмат пешки, шахмат фигури
🃏	Джокер, вӑйӑ, джокер, картла, шут
🀄️	вӑйӑ, китай, кубиксем, маджонг, шӑмӑсем
🎴	Япони, вӑйӑ, вӑйӑ картти, карттӑ, тулли уйӑх, ханафуда, хӗвел, чечек картти, чечексем, япони
🎭️	драма, искусство, комеди, маска, маскӑсем, постановка, премьера, театр, шекспир
🖼️	картина, пейзаж, рама, рамка, рамкӑллӑ картин, рамкӑри картина, рамӑри картина, ҫутҫанталӑк
🎨	палитра, сӑрлӑ палитра, сӑрӑсем, художник, ӳкерме
🧵	алӗҫ, йӗп, катушка, сапла, тӗрӗ, ҫип, ҫип катушки, ҫӗле
🪡	йӗп, сукмак, тӗрӗ, ҫӗвӗ, ҫӗвӗ йӗппи, ҫӗле
🧶	алӗҫ, йӗп, ҫекӗл, ҫип, ҫыхни, ҫӑмха, ҫӑмӗ
🪢	канат, кантра, трос, тӗвӗ, узел, шнур, шнурок
👓️	аксессуар, куҫ, куҫлӑх, тумтир, хӳтлӗх
🕶️	аксуар, куҫлӑх, хура, хӗвел, хӗвел куҫлӑхӗ, хӗвел хӳтлӗх, хӗвел хӳтӗлекен куҫлӑх, хӳтӗлев
🥽	ишев, йӗлтӗр маски, куҫлӑх, маска, симӗс куҫлӑх, хӳтӗлев, чӑмас
🥼	врач, лаборатори, лаборатори халачӗ, тумтир, тухтӑр, ученӑй, форма, халат, шурӑ халат, эксперимент
🦺	васкавлӑ хӗсмет, хӳтӗлев, хӳтӗлев шилечӗ, шилет
👔	галстук, калстук, кӗпе, офис, тумтир, узел, ҫыхма
👕	кӗпе, кӗпешке, кӗске, тумтир, футболка, ҫанӑсем
👖	джинс, джинссем, йӗм, шӑлавар
🧣	бирюза шарф, мӑйне шарф, мӑйне шарф), симӗс шарф, чӗркемелле, шарф, ҫыхмалла, ҫыхнӑ
🧤	ал тупанӗ, перчетке
🧥	бр, куртка, кӗрхи куртка, мамӑк тӳшек, пальто, пиншак, сивӗ, тумтир, хӗрлӗ куртка, ҫӳлти
🧦	нуски
👗	коктейль, кӗпе, тумтир, хӗрарӑм, хӗрарӑм тумтирӗ, ҫуллахи кӗпе
👘	иплӗ, кимоно, тум-тир
🥻	кӗпе, сари, тумтир
🩱	ишме, пӗрлешӳллӗ шыва кӗмелли, пӗтӗм шыва кӗмелли вырӑн, спорт, тумтир, тӗллевлӗ, хупӑ, шыва кӗмелли
🩲	ишме, плавкӑсем, трусиксем, тумтир, шортсем, шыва кӗрекен, шӑраткӑҫ
🩳	ишме, кӗпе-йӗм, плавкӑсем, спорт, трусиксем, тумтир, шортсем, шортӑ, шыва кӗмелли
👙	бассейн, бикини, ишме, отпуск, пикини, тинӗс, шыва кӗрекен
👚	блузка, кӗпе, кӗрен, тумтир, футболка, хӗрарӑм, хӗрарӑм тум-тирӗ
🪭	алӑ ҫупни, веер, именчӗк, сивӗт, сухаланӑ, ташӑ, флирт, хуҫланакан ал веерӗ, хуҫланакан веер, чӗтрет, шӑрӑх
👛	аксессуар, вак-тӗвек, енчӗк, йенчӗк, сумка, укҫа
👜	авӑрлӑ сумка, ручка, саквояж, сумка, туяну, хӗрарӑм
👝	аксуар, багаж, клатч, михӗ, саквояж, сумка, театр, хӗрарӑм, чедан
🛍️	оттел, туйану, хут хутаҫ, хутаҫ
🎒	портфель, ранец, руксак, рюкзак, шкул
🩴	атӑ-пушмак, вьетнамкӑсем, пляж, сланецсем, тонг сандалийӗ, ҫат
👞	арҫын, арҫын пушмакӗ, ботинка, пушмак, туфли
👟	атӑ-пушмак, кедсем, кроссовкӑсем, пробежка, спорт, чупма, чупмак, чупу
🥾	ботинка, кемпинг, палатка, поход, рюкзак, треккинг атӑ-пушмак, треккинг ботинки, туризм пушмакӗ, турист пушмакӗ
🥿	атӑ, балеткӑсем, каблуксӑр туфлисем, лаптак тӗплӗ, лаптак тӗплӗ туфлисем, меллӗ, пушмаксӑр, туфлисем, хупӑнакан
👠	атӑ, каблук, кимӗ, кӗлеллӗ, кӗлеллӗ туфли, лакпа сӑрланӑ туфли, стиль, туфли, хӗрарӑм, ҫӳллӗ каблук
👡	атӑ, босоножкӑсем, каблук, кӗли ҫинчи сандали, сабо, сандали, хӗрарӑм, хӗрарӑм атӑ-пушмакӗ, хӗрарӑм сандалийӗ, ҫулла
🩰	балет, балет туфли, ташӑ
👢	атӑ, замша, сивӗ, хӗреарӑм атти, ҫӳллӗ
🪮	афро, афро-ту хысакӗ, афро-тура, афрогребен, пуҫтар, тура, тураса, ҫӳҫ
👑	голова, королева, корона, монарх, патша, патшалӑх
👒	бант, пуҫа тӑхӑнмалли шлепке, улӑм, хӗрарӑм, хӗрарӑм шлепки, шлепке
🎩	арҫын, маги, фокус, хура, цилиндр, чӗлинтӑр, шлепке
🎓️	бакалавр, бонет, вӗренсе тухакансен калпакӗ, калпак, конфедератка, кӑларӑм, кӑларӑм калпакӗ, магистр
🧢	бейсбол кепки, бейсбол хӗрарӑмӗ, бейсболка, кепка, козырек, пуҫ уборӗ, ҫӗлӗк
🪖	арми, вӑрҫӑ, салтак, шлем, ҫар, ҫар шлемӗ, ҫар ҫынни
⛑️	каска, пит, пулӑшу, хӗрес, шлем, ҫӑлакан каски, ҫӑлакан шлемӗ
📿	кӗл тӑвакан, кӗлӗ шӑрҫи, мӑй ҫыххи, тум-тир, тӗн, шӑрҫа
💄	косметика, курнӑҫу, мӑкиеш, тута писевӗ
💍	алӑ-чӗре, бриллиант, кӑшӑл, предложени, туй, хаклӑ, чул, ҫураҫу, ҫӗрре, ҫӗрӗ
💎	алмаз, бриллиант, хаклӑ, хаклӑ йышши чул, хакӗ, чул
🔇	микрофон, сасӑ, сасӑсӑр, хуллен, хыттӑн, чӗмсӗрлӗх, шӑплатнӑ йанраткӑч, шӑплӑх, шӑплӑха
🔈️	пӗчӗк, сасӑ, шӑппӑн йанӑракан йанраткӑч
🔉	вӑтам, вӑтам йанӑракан йанраткӑч, сасӑ
🔊	мусӑк, сасӑ, хытӑ, хытӑ йанӑракан йанраткӑч, ҫӳллӗ
📢	громкоговоритель, пӗлтерӳ, рупор, сасӑ, тимлӗх, чӗнсе калани
📣	мегафон, сасӑ, хавхалантарни
📯	кавал, пуштӑ, пуштӑ кавалӗ
🔔	сасӑ, тӑхтав, чан, чиркӳ, шӑнкӑрав
