‾	ขีดบน
☀️	พระอาทิตย์, สว่าง, อากาศ, แสงแดด
🌝	พระจันทร์, สว่าง, หน้า, หน้าพระจันทร์เต็มดวง, อวกาศ, เต็มดวง
🌞	พระอาทิตย์, สว่าง, หน้าพระอาทิตย์, อากาศ, ใบหน้า
🪐	ดาวเคราะห์ที่มีวงแหวน, ดาวเสาร์, แซตเทิร์นนายน์
⭐️	ดวงดาว, ดาวสีขาวขนาดกลาง
🌟	ดาว, ดาวส่องแสง, ประกาย, ระยิบระยับ, แสง
🌠	ดาว, ดาวตก
🌌	ดาราจักร, ทางช้างเผือก, อวกาศ
☁️	สภาพอากาศ, เมฆ, เมฆดำ
⛅️	ดวงอาทิตย์, ดวงอาทิตย์หลังเมฆ
⛈️	ฝน, ฝนฟ้าคะนอง, ฟ้าร้อง, สภาพอากาศ, เมฆ
🌤️	พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆน้อยบดบังพระอาทิตย์
🌥️	พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆก้อนใหญ่บังพระอาทิตย์
🌦️	ฝน, พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆฝนบดบังพระอาทิตย์
🌧️	ฝน, สภาพอากาศ, เมฆ, เมฆฝน
🌨️	สภาพอากาศ, หิมะ, เมฆ, เมฆและหิมะ
🌩️	ฟ้าแลบ, สภาพอากาศ, เมฆ, เมฆและฟ้าแลบ
🌪️	พายุทอร์นาโด, พายุหมุน, อากาศ, เมฆ
🌫️	สภาพอากาศ, หมอก, เมฆ
🌬️	พ่นลม, ลมพัด, สภาพอากาศ, เมฆ
🌀	พายุหมุน, ไซโคลน, ไต้ฝุ่น
🌈	คนข้ามเพศ, ธรรมชาติ, ฝน, รุ้ง, สภาพอากาศ, สายรุ้ง, สีสัน, เกย์ไพรด์, แอลจีบีที
🌂	ฝน, ร่ม, ร่มหุบ, เสื้อผ้า
☂️	ฝน, ร่ม, สภาพอากาศ
☔️	ฝน, ร่ม, ร่มและหยดน้ำฝน, สภาพอากาศ
⛱️	ฝน, พระอาทิตย์, ร่ม, ร่มปักดิน, สภาพอากาศ
⚡️	สัญลักษณ์ไฟฟ้าแรงสูง, ไฟฟ้าแรงสูง
❄️	สภาพอากาศ, หนาว, หิมะ, เกล็ดหิมะ
☃️	คน, ตุ๊กตา, สภาพอากาศ, สโนว์แมน, สโนว์แมนและหิมะ, หนาว, หิมะ, เย็น
⛄️	สภาพอากาศ, สโนว์แมน, หนาว, หิมะ
☄️	ดาวหาง, อวกาศ
🔥	เปลวไฟ, ไฟ
💧	หยดน้ำ, เหงื่อ
🌊	คลื่น, คลื่นทะเล
🎃	ฟักทอง, ฟักทองฮาโลวีน, ฮาโลวีน
🎄	คริสต์มาส, ต้นคริสต์มาส
🎆	พลุ, เฉลิมฉลอง
🎇	ดอกไม้ไฟ, พลุ
🧨	ดอกไม้ไฟ, ประกาย, ประทัด, ระเบิด, ไดนาไมต์, ไฟ
✨️	*, ดาว, ดาววิบวับ, ประกายวิบวับ
🎈	ลูกโป่ง, เฉลิมฉลอง
🎉	ปาร์ตี้, เฉลิมฉลอง
🎊	บอล, ปาร์ตี้, พุ, ลูกบอลใส่เศษกระดาษงานปาร์ตี้, ลูกปา, เฉลิมฉลอง
🎋	คำอวยพร, ญี่ปุ่น, ต้นไม้, ต้นไม้ประดับคำอวยพร, เฉลิมฉลอง
🎍	ญี่ปุ่น, ต้นสนประดับ, ต้นไผ่, ปีใหม่
🎎	ญี่ปุ่น, ตุ๊กตา, ตุ๊กตาญี่ปุ่น, เฉลิมฉลอง, เทศกาล
🎏	ธง, ธงปลาคาร์พ, ปลาคาร์พ, เฉลิมฉลอง
🎐	โมบายล์, โมบายล์กระดิ่ง
🎑	พระจันทร์, เฉลิมฉลอง, ไหว้พระจันทร์
🧧	ของขวัญ, ซองแดง, ตรุษจีน, อั่งเปา, เงิน, แต๊ะเอีย, โชคลาภ
🎀	การเฉลิมฉลอง, ริบบิ้น, โบ, โบว์
🎁	กล่อง, ของขวัญ, คริสต์มาส, ฉลอง, วันเกิด, เซอร์ไพรส์
🎗️	รณรงค์, รำลึก, ริบบิ้น, ริบบิ้นรำลึก
🎟️	ตั๋ว, ตั๋วเข้าชม, บัตร, เข้าชม
🎫	ตั๋ว, บัตร, เข้าชม
🎖️	กองทัพ, ยกย่อง, เหรียญ, เหรียญกล้าหาญ
🏆️	ถ้วยรางวัล, รางวัล
🏅	กีฬา, ทอง, ผู้ชนะ, รางวัล, เหรียญ, เหรียญรางวัล
🥇	กีฬา, ชนะ, ทอง, ที่ 1, เหรียญทอง, เหรียญรางวัล
🥈	กีฬา, ชนะ, ที่ 2, เงิน, เหรียญรางวัล, เหรียญเงิน
🥉	กีฬา, ชนะ, ทองแดง, ที่ 3, เหรียญทองแดง, เหรียญรางวัล
⚽️	ฟุตบอล, ลูกฟุตบอล
⚾️	บอล, เบสบอล
🥎	กีฬา, ซอฟต์บอล, ถุงมือ, ลูกบอล, อันเดอร์อาร์ม, เบสบอล
🏀	กีฬา, บอล, บาสเกตบอล, ยัดห่วง
🏐	บอล, วอลเลย์บอล, เกม
🏈	กีฬา, ลูกบอล, อเมริกันฟุตบอล
🏉	กีฬา, รักบี้, ลูกรักบี้
🎾	กีฬา, ลูกเทนนิส, เทนนิส
🥏	จานบิน, จานร่อน, แผ่นดิสก์, ไกลสุด
🎳	กีฬา, โบว์ลิ่ง
🏏	คริกเก็ต, บอล, เกม, ไม้
🏑	บอล, สนาม, ฮอกกี้, เกม, ไม้
🏒	น้ำแข็ง, ลูกยาง, ฮอกกี้, เกม, ไม้ฮอกกี้
🥍	ลาครอส, ลูกบอล, โกล, ไม้
🏓	ปิงปอง, ลูก, เกม, โต๊ะ, ไม้
🏸	ลูกขนไก่, เกม, แบดมินตัน, ไม้แบด
🥊	กีฬา, ชก, นวม, มวย
🥋	กีฬา, คาราเต้, ชุด, ชุดยูโด, ยูโด, ศิลปะป้องกันตัว, เทควันโด
🥅	ตาข่าย, ประตู, ฟุตบอล, เน็ต, โกล
⛳️	กอล์ฟ, ธงในหลุม
⛸️	น้ำแข็ง, สเก็ต, สเก็ตน้ำแข็ง
🎣	ตกปลา, ปลา, เบ็ด
🤿	ดำน้ำ, น้ำลึก, ผิวน้ำ, สนอร์เกิล, หน้ากาก, หน้ากากดำน้ำ, อุปกรณ์
🎽	วิ่ง, เสื้อวิ่ง
🎿	กีฬา, สกี, หิมะ
🛷	เลื่อน, เลื่อนหิมะ, แคร่เลื่อน
🥌	กีฬา, ลูกกลิ้งหิน, หิน, เกม, เคอร์ลิง
🎯	กลางเป้า, ตรงเป้า, ปาเป้า, ลูกดอก
🪀	ของเล่น, ขึ้นๆ ลงๆ, ม้วนกลับ, ลูกดิ่ง, เด้งดึ๋ง, โยโย่
🪁	บิน, ลอยละล่อง, ว่าว, เล่นลม
🔫	ปืน, ปืนฉีดน้ำ, ปืนพก, ลูกโม่, อาวุธ
🎱	บิลเลียด, แปด
🔮	ดูดวง, ลูกแก้ววิเศษ
🪄	คาถา, นักมายากล, ผู้วิเศษ, พ่อมด, เวทมนตร์, เสกคาถา, แม่มด, ไม้กายสิทธิ์
🎮️	จอยสติ๊ก, วิดีโอเกม, เกม
🕹️	จอยสติ๊ก, วิดีโอ, เกม
🎰	พนัน, สล็อต, สล็อตแมชชีน, เกม
🎲	ทอยลูกเต๋า, ลูกเต๋า
🧩	คำใบ้, จิ๊กซอว์, ชิ้นส่วน, ตัวต่อ, ทับซ้อน, ปริศนา, ไขปัญหา
🧸	ของเล่น, ตุ๊กตา, ตุ๊กตาหมี, ผ้ากำมะหยี่, ยัดนุ่น, หมี, เท็ดดี้แบร์
🪅	การเฉลิมฉลอง, ขนมหวาน, ฉลอง, ปาร์ตี้, ปิญญาตา, ลูกกวาด, เทศกาล, เม็กซิกัน
🪩	ดิสโก้, ปาร์ตี้, ลูกบอลกระจก, เต้น, แสงแวววาว
