‾	ขีดบน
▼	ทึบ, ลง, ลูกศร, สามเหลี่ยม, สามเหลี่ยมทึบหัวชี้ลง
▽	สามเหลี่ยมชี้ลงกลวง
▾	สามเหลี่ยมเล็กชี้ลงทึบ
▿	สามเหลี่ยมเล็กชี้ลงกลวง
◁	สามเหลี่ยมชี้ซ้ายกลวง
◂	สามเหลี่ยมเล็กชี้ซ้ายทึบ
◃	สามเหลี่ยมเล็กชี้ซ้ายกลวง
◄	ตัวชี้ซ้ายทึบ
◅	ตัวชี้ซ้ายกลวง
◆	สี่เหลี่ยมขนมเปียกปูนทึบ
◇	สี่เหลี่ยมขนมเปียกปูนกลวง
◈	สี่เหลี่ยมขนมเปียกปูนกลวงที่มีสี่เหลี่ยมขนมเปียกปูนทึบ
◉	จุดที่มีวงกลมรอบ, ตาปลา, วงกลมกลวงที่มีวงกลมทึบ, วงกลมที่มีวงกลมทึบร่วมศูนย์กลาง
◊	สี่เหลี่ยมขนมเปียกปูน, สี่เหลี่ยมข้าวหลามตัด, สี่เหลี่ยมด้านเท่า
○	จุดกลม, จุดกลมกลวง, วงแหวน
◌	วงกลมจุด
◍	วงกลมเติมเส้นแนวตั้ง
◎	จุดกลางเป้า, วงกลมซ้อน, วงกลมร่วมศูนย์กลาง, เป้าหมาย
●	จุดกลม, จุดกลมทึบ
◐	วงกลมทึบครึ่งซ้าย
◑	วงกลมทึบครึ่งขวา
◒	วงกลมทึบครึ่งล่าง
◓	วงกลมทึบครึ่งบน
◔	วงกลมทึบเสี้ยวขวาบน
◕	วงกลมทึบทั้งหมดเว้นเสี้ยวซ้ายบน
◖	ครึ่งวงกลมทึบซ้าย
◗	ครึ่งวงกลมทึบขวา
◘	บุลเลตกลับด้าน
◙	วงกลมกลวงกลับด้าน, สี่เหลี่ยมจัตุรัสทึบที่มีวงกลมกลวง
◜	ส่วนโค้งวงกลมเสี้ยวซ้ายบน
◝	ส่วนโค้งวงกลมเสี้ยวขวาบน
◞	ส่วนโค้งวงกลมเสี้ยวขวาล่าง
◟	ส่วนโค้งวงกลมเสี้ยวซ้ายล่าง
◠	ครึ่งวงกลมบน
◡	ครึ่งวงกลมล่าง
◢	สามเหลี่ยมขวาล่างทึบ
◣	สามเหลี่ยมซ้ายล่างทึบ
◤	สามเหลี่ยมซ้ายบนทึบ
◥	สามเหลี่ยมขวาบนทึบ
◦	บุลเลตกลวง
◯	จุดกลม, จุดกลมกลวงใหญ่, วงแหวน
◳	สี่เหลี่ยมจัตุรัสกลวงเสี้ยวขวาบน
◷	วงกลมกลวงมีเสี้ยวขวาบน
◿	สามเหลี่ยมขวาล่าง
♪	ดนตรี, เขบ็ต 1 ชั้น, โน้ต, โน้ตเขบ็ต 1 ชั้น
⨧	เครื่องหมายบวกตัวห้อยเลขสอง
⨯	ผลคูณไขว้ของเวกเตอร์
⨼	ผลคูณภายใน
⩣	เส้นใต้คู่หรือเชิงตรรกะ
⩽	เท่ากันเอียงน้อยกว่า
⪍	น้อยกว่าเหนือเท่ากันคล้าย
⪚	คณิตศาสตร์, มากกว่าเท่ากันเส้นคู่, ไม่เท่ากัน
⪺	ตามหลังเหนือไม่เกือบเท่ากัน
♭	ดนตรี, แฟลต, โน้ต
♯	ชาร์ป, ดนตรี, สูงขึ้นครึ่งเสียง, โน้ต
😀	55, ยิ้ม, ยิ้มกว้าง, ยิ้มยิงฟัน, หน้า, หน้ายิ้มยิงฟัน, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ, ใบหน้า
😃	55, ตลก, ยิ้ม, ยิ้มยิงฟันปากอ้า, หน้า, หน้ายิ้มอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😄	55, ตลก, ยิ้ม, หน้า, หน้ายิ้มตายิ้ม และอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😁	ยิงฟัน, ยิ้ม, ยิ้มยิงฟันตายิ้ม, หน้า, ฮี่ฮี่, ฮี่ๆ
😆	555, ขำ, ตลก, ตาหยี, มีความสุข, ยิ้ม, ยิ้มตาหยี, หน้า, หัวเราะ, ฮา
😅	ยิ้ม, ยิ้มเหงื่อตก, หน้า, เหงื่อออก
🤣	555, กลิ้ง, ขำ, ขำกลิ้ง, ตลก, มีความสุข, หัวเราะ, ฮา, แว้ก
😂	555, ขำ, ดีใจ, ตลก, น้ำตา, ปลื้ม, ร้องไห้, ร้องไห้ดีใจ, หน้า, หัวเราะ, ฮา
🙂	ยิ้ม, หน้า, หน้ายิ้มบางๆ
🙃	กลับหัว, ยิ้ม, หน้า, หน้ากลับหัว
🫠	ของเหลว, ร้อน, ละลาย, สูญสลาย, หน้า, หายไป, อาย, เขิน, ใบหน้าละลาย
😉	ขยิบตา, จีบ, ยิ้ม, หน้า, อิอิ
😊	555, ตา, หน้า, หน้ายิ้มตายิ้ม, หน้าแดง, อมยิ้ม, อิอิ
😇	นางฟ้า, บริสุทธิ์, ยิ้ม, ยิ้มเทวดา, หน้า, เทวดา
🥰	ความรัก, ชอบ, ชื่นชอบ, ตกหลุมรัก, หน้ายิ้มพร้อมกับหัวใจหลายดวง, หลงรัก, หลงใหล, หัวใจ, แอบชอบ, ใบหน้า
😍	ความรัก, ตา, ตาหัวใจ, ยิ้ม, หน้า, หัวใจ
🤩	ดวงตา, ดาว, ตาแวววาว, ตื่นเต้น, รอยยิ้ม, ว้าว, หน้าตาเป็นประกาย, ใบหน้า, ใบหน้ายิ้ม
😘	จุ๊บ, ส่งจูบ, หน้า, หน้าส่งจุ๊บ, หัวใจ
😗	จุ๊บ, ส่งจูบ, หน้า, หน้าจุ๊บ
☺️	ยิ้ม, หน้า, หน้ายิ้ม, หุหุ
😚	จุ๊บ, ส่งจูบ, หน้า, หยีตาส่งจุ๊บ
😙	จุ๊บ, ส่งจูบ, หน้า, หน้ายิ้มส่งจุ๊บ
🥲	ซึ้ง, ดีใจ, น้ำตา, ภูมิใจ, มีความสุข, ยิ้ม, สุขใจ, หน้ายิ้มทั้งน้ำตา, เจ็บปวด, โล่งใจ, ใบหน้ายิ้มทั้งน้ำตา
😋	น้ำลายไหล, หน้า, อร่อย, แลบลิ้นมุมปาก
😛	หน้า, แลบลิ้น
😜	ขยิบตา, หน้า, แลบลิ้น, แลบลิ้นหน้าทะเล้น
🤪	กวน, ตลก, บ้า, หน้า, หน้าเพี้ยน, เพี้ยน
😝	หน้า, แลบลิ้น, แลบลิ้นตาหยี
🤑	หน้า, หน้าเห็นแก่เงิน, เงิน, เห็นแก่เงิน
🤗	กอด, ยิ้ม, ยิ้มกอด, หน้า, อบอุ่น
🤭	ขำขำ, ความลับ, ปิดปาก, หัวเราะ, อิอิ, อุ๊บส์, เอามือปิดปาก, แปลกใจ
🫢	ตกใจ, ประหลาดใจ, ปิดปาก, หน้าเบิกตากว้างและเอามือปิดปาก, หวั่นใจ, หวาดกลัว, อับอาย, เขิน, เซอร์ไพรส์, ไม่พูด, ไม่เชื่อ
🫣	กลัว, จับใจ, จ้อง, หน้า, หน้าแอบมอง, อาย, เขิน, แอบดู, แอบมอง
