‾	överstreck
😣	ansikte, besviken, huvudvärk, misslyckades, står ut, uthärdar, uthålligt, uthålligt ansikte
😞	ansikte, besviken, besviket ansikte, misslyckades, nedslagen
😓	ansikte, kallsvettig, nedslagen, nedslaget kallsvettigt ansikte, nervös, rädd, svettig
😩	ansikte, besviken, ledsen, olycklig, slut, uppgiven, uttröttad, uttröttat ansikte
😫	ansikte, inte, ledsen, less, orkar, trött, trött ansikte
🥱	ansikte, godnatt, gäspa, gäspande ansikte, sängdags, sömnig, trött, uttråkad
😤	ansikte, ansikte med ånga ur näsan, arg, näsan, rasande, seger, triumf, vansinnig, ånga
😡	ansikte, arg, rasande, rasande ansikte, röd, sur
😠	ansikte, arg, argt ansikte, ilsken, upprörd
🤬	ansikte, ansikte med symboler på munnen, arg, förbannad, mun, svordomar, svär, symboler
😈	ansikte, djävul, elak, horn, leende, leende ansikte med horn, lila
👿	ansikte, arg, argt ansikte med horn, djävul, horn
💀	dödskalle, döskalle
☠️	benknotor, dödskalle, dödskalle med ben i kors, pirater
💩	avföring, bajs, bajshög
🤡	ansikte, clown, clownansikte, pajas
👹	ansikte, demon, japansk, japanskt monster, monster, saga
👺	ansikte, japansk, japanskt troll, saga, troll
👻	ansikte, saga, spöke
👽️	alien, rymdvarelse, saga, ufo, utomjording
👾	monster, rymdvarelse, saga, ufo, utomjording, utomjordiskt monster
🤖	ansikte, robot, robotansikte
😺	flinande, flinande kattansikte, glad, katt, leende
😸	flin, flinande kattansikte med leende ögon, glad, grin, kattansikte, leende, tänder, ögon
😹	glädjetårar, gråter, kattansikte, kattansikte med glädjetårar, roligt, skrattar, tårar
😻	hjärtan, kattansikte, kärlek, leende, leende kattansikte med hjärtformade ögon, älskar, ögon
😼	ironiskt, kattansikte, kattansikte med snett leende, leende, snett
😽	blundar, kattansikte, kyss, kyssande kattansikte, plutar, puss
🙀	chockad, förvånad, kattansikte, rädd, uttröttad, uttröttat kattansikte, överraskad
😿	gråtande kattansikte, gråter, kattansikte, ledsen, tår
😾	katt, sur, tjura, tjurande katt, tjurig
🙈	apa, apa ser inget, håller för, inget, ser, ögon
🙉	apa, apa hör inget, håller för, hör, inget, öron
🙊	apa, apa säger inget, hemlighet, håller för, inget, munnen, säger, tyst
💌	brev, hjärta, kärlek, kärleksbrev
💘	amors, hjärta, hjärta med pil, kärlek, pil
💝	hjärta, hjärta med rosett, kärlek, present, rosa, rosett
💖	gnistrande, gnistrande hjärta, hjärta, känslor, kärlek, upprymd
💗	hjärta, känslor, kärlek, nervös, puls, upprymd, växande, växande hjärta
💓	bankar, bultande, bultande hjärta, hjärta, känslor, kärlek, puls, slår
💞	hjärtan, känslor, kärlek, snurrande hjärtan, snurrar, två
💕	hjärtan, känslor, kärlek, två, två hjärtan
💟	dekoration, hjärta, hjärtdekoration, lila, vitt
❣️	hjärta, rött, utropstecken, utropstecken i form av ett hjärta
💔	brustet, brustet hjärta, hjärta, känslor, trasigt
❤‍🔥	brinnande, brinnande hjärta, eld, hjärta, lust
❤‍🩹	friskna till, läkande hjärta, läker, läker sår, repa sig, tillfriskna
❤️	hjärta, känslor, kärlek, rött, rött hjärta
🩷	bedårande, gullig, hjärta, kärlek, rosa, rosa hjärta, sött, älskar
🧡	hjärta, hjärta i orange, orange
💛	gult, gult hjärta, hjärta
💚	grönt, grönt hjärta, hjärta
💙	blått, blått hjärta, hjärta
🩵	cyan, himmelsblå, hjärta, känsla, kärlek, ljusblå, ljusblått hjärta
💜	hjärta, lila, lila hjärta
🤎	brunt, brunt hjärta, hjärta
🖤	hjärta, ond, svart, svart hjärta
🩶	grå, grått hjärta, hjärta, känsla, kärlek, silver, skiffer
🤍	hjärta, vitt, vitt hjärta
💋	kyssmärke, kärlek, läppar, läppavtryck
💯	100 poäng, full pott
💢	arg, ilska, symbol, symbol för ilska
💥	explosion, kollision, serietidning, smäll
💫	omtumlad, serietidning, stjärna, stjärnfall, yr
💦	droppar, serietidning, stänkande, stänkande svett, svettig
💨	borta, fartsymbol, pust, springa, springer iväg
🕳️	hål
💬	bubbla, dialogbubbla, pratbubbla
👁‍🗨	pratbubbla, vittne, öga, öga i pratbubbla
🗨️	pratbubbla, pratbubbla åt vänster, svart, vänster
🗯️	arg, arg pratbubbla åt höger, höger, pratbubbla, taggig
💭	bubbla, funderar, tankebubbla
💤	snarkar, snarkningar, sover, sömnig, trött, uttråkad, zzz
👋	hallå, hand, hej, vinka, vinkande hand, vinkning, är du där?
👋🏻	hallå, hand, hej, ljus hy, vinka, vinkande hand, vinkande hand: ljus hy, vinkning, är du där?
👋🏼	hallå, hand, hej, mellanljus hy, vinka, vinkande hand, vinkande hand: mellanljus hy, vinkning, är du där?
👋🏽	hallå, hand, hej, mellanfärgad hy, vinka, vinkande hand, vinkande hand: mellanfärgad hy, vinkning, är du där?
👋🏾	hallå, hand, hej, mellanmörk hy, vinka, vinkande hand, vinkande hand: mellanmörk hy, vinkning, är du där?
👋🏿	hallå, hand, hej, mörk hy, vinka, vinkande hand, vinkande hand: mörk hy, vinkning, är du där?
🤚	hand, höjd handrygg, lyft
🤚🏻	hand, höjd handrygg, höjd handrygg: ljus hy, ljus hy, lyft
🤚🏼	hand, höjd handrygg, höjd handrygg: mellanljus hy, lyft, mellanljus hy
🤚🏽	hand, höjd handrygg, höjd handrygg: mellanfärgad hy, lyft, mellanfärgad hy
🤚🏾	hand, höjd handrygg, höjd handrygg: mellanmörk hy, lyft, mellanmörk hy
🤚🏿	hand, höjd handrygg, höjd handrygg: mörk hy, lyft, mörk hy
🖐️	finger, hand, hand med utspretade fingrar
🖐🏻	finger, hand, hand med utspretade fingrar, hand med utspretade fingrar: ljus hy, ljus hy
🖐🏼	finger, hand, hand med utspretade fingrar, hand med utspretade fingrar: mellanljus hy, mellanljus hy
🖐🏽	finger, hand, hand med utspretade fingrar, hand med utspretade fingrar: mellanfärgad hy, mellanfärgad hy
🖐🏾	finger, hand, hand med utspretade fingrar, hand med utspretade fingrar: mellanmörk hy, mellanmörk hy
🖐🏿	finger, hand, hand med utspretade fingrar, hand med utspretade fingrar: mörk hy, mörk hy
✋️	hand, hand i luften, handflata, uppräckt
✋🏻	hand, hand i luften, hand i luften: ljus hy, handflata, ljus hy, uppräckt
✋🏼	hand, hand i luften, hand i luften: mellanljus hy, handflata, mellanljus hy, uppräckt
✋🏽	hand, hand i luften, hand i luften: mellanfärgad hy, handflata, mellanfärgad hy, uppräckt
✋🏾	hand, hand i luften, hand i luften: mellanmörk hy, handflata, mellanmörk hy, uppräckt
✋🏿	hand, hand i luften, hand i luften: mörk hy, handflata, mörk hy, uppräckt
