‾	överstreck
🖖	Star Trek, hand, spock, vulcan, vulcan-hälsning
🖖🏻	Star Trek, hand, ljus hy, spock, vulcan, vulcan-hälsning, vulcan-hälsning: ljus hy
🖖🏼	Star Trek, hand, mellanljus hy, spock, vulcan, vulcan-hälsning, vulcan-hälsning: mellanljus hy
🖖🏽	Star Trek, hand, mellanfärgad hy, spock, vulcan, vulcan-hälsning, vulcan-hälsning: mellanfärgad hy
🖖🏾	Star Trek, hand, mellanmörk hy, spock, vulcan, vulcan-hälsning, vulcan-hälsning: mellanmörk hy
🖖🏿	Star Trek, hand, mörk hy, spock, vulcan, vulcan-hälsning, vulcan-hälsning: mörk hy
🫱	hand, hand som pekar till höger, handslag, hej, hälsa, höger, skaka, till höger
🫱🏻	hand, hand som pekar till höger, hand som pekar till höger: ljus hy, handslag, hej, hälsa, höger, ljus hy, skaka, till höger
🫱🏼	hand, hand som pekar till höger, hand som pekar till höger: mellanljus hy, handslag, hej, hälsa, höger, mellanljus hy, skaka, till höger
🫱🏽	hand, hand som pekar till höger, hand som pekar till höger: mellanfärgad hy, handslag, hej, hälsa, höger, mellanfärgad hy, skaka, till höger
🫱🏾	hand, hand som pekar till höger, hand som pekar till höger: mellanmörk hy, handslag, hej, hälsa, höger, mellanmörk hy, skaka, till höger
🫱🏿	hand, hand som pekar till höger, hand som pekar till höger: mörk hy, handslag, hej, hälsa, höger, mörk hy, skaka, till höger
🫱🏻‍🫲🏼	avtal, hand, handskakning, handskakning: ljus hy, mellanljus hy, ljus hy, mellanljus hy, möte
🫱🏻‍🫲🏽	avtal, hand, handskakning, handskakning: ljus hy, mellanfärgad hy, ljus hy, mellanfärgad hy, möte
🫱🏻‍🫲🏾	avtal, hand, handskakning, handskakning: ljus hy, mellanmörk hy, ljus hy, mellanmörk hy, möte
🫱🏻‍🫲🏿	avtal, hand, handskakning, handskakning: ljus hy, mörk hy, ljus hy, mörk hy, möte
🫱🏼‍🫲🏻	avtal, hand, handskakning, handskakning: mellanljus hy, ljus hy, ljus hy, mellanljus hy, möte
🫱🏼‍🫲🏽	avtal, hand, handskakning, handskakning: mellanljus hy, mellanfärgad hy, mellanfärgad hy, mellanljus hy, möte
🫱🏼‍🫲🏾	avtal, hand, handskakning, handskakning: mellanljus hy, mellanmörk hy, mellanljus hy, mellanmörk hy, möte
🫱🏼‍🫲🏿	avtal, hand, handskakning, handskakning: mellanljus hy, mörk hy, mellanljus hy, mörk hy, möte
🫱🏽‍🫲🏻	avtal, hand, handskakning, handskakning: mellanfärgad hy, ljus hy, ljus hy, mellanfärgad hy, möte
🫱🏽‍🫲🏼	avtal, hand, handskakning, handskakning: mellanfärgad hy, mellanljus hy, mellanfärgad hy, mellanljus hy, möte
🫱🏽‍🫲🏾	avtal, hand, handskakning, handskakning: mellanfärgad hy, mellanmörk hy, mellanfärgad hy, mellanmörk hy, möte
🫱🏽‍🫲🏿	avtal, hand, handskakning, handskakning: mellanfärgad hy, mörk hy, mellanfärgad hy, mörk hy, möte
🫱🏾‍🫲🏻	avtal, hand, handskakning, handskakning: mellanmörk hy, ljus hy, ljus hy, mellanmörk hy, möte
🫱🏾‍🫲🏼	avtal, hand, handskakning, handskakning: mellanmörk hy, mellanljus hy, mellanljus hy, mellanmörk hy, möte
🫱🏾‍🫲🏽	avtal, hand, handskakning, handskakning: mellanmörk hy, mellanfärgad hy, mellanfärgad hy, mellanmörk hy, möte
🫱🏾‍🫲🏿	avtal, hand, handskakning, handskakning: mellanmörk hy, mörk hy, mellanmörk hy, mörk hy, möte
🫱🏿‍🫲🏻	avtal, hand, handskakning, handskakning: mörk hy, ljus hy, ljus hy, mörk hy, möte
🫱🏿‍🫲🏼	avtal, hand, handskakning, handskakning: mörk hy, mellanljus hy, mellanljus hy, mörk hy, möte
🫱🏿‍🫲🏽	avtal, hand, handskakning, handskakning: mörk hy, mellanfärgad hy, mellanfärgad hy, mörk hy, möte
🫱🏿‍🫲🏾	avtal, hand, handskakning, handskakning: mörk hy, mellanmörk hy, mellanmörk hy, mörk hy, möte
🫲	hand, hand som pekar till vänster, skaka, till vänster, vänster
🫲🏻	hand, hand som pekar till vänster, hand som pekar till vänster: ljus hy, ljus hy, skaka, till vänster, vänster
🫲🏼	hand, hand som pekar till vänster, hand som pekar till vänster: mellanljus hy, mellanljus hy, skaka, till vänster, vänster
🫲🏽	hand, hand som pekar till vänster, hand som pekar till vänster: mellanfärgad hy, mellanfärgad hy, skaka, till vänster, vänster
🫲🏾	hand, hand som pekar till vänster, hand som pekar till vänster: mellanmörk hy, mellanmörk hy, skaka, till vänster, vänster
🫲🏿	hand, hand som pekar till vänster, hand som pekar till vänster: mörk hy, mörk hy, skaka, till vänster, vänster
🫳	avvisa, handflatan nedåt, neka, plocka upp, schas, släppa, släppte
🫳🏻	avvisa, handflatan nedåt, handflatan nedåt: ljus hy, ljus hy, neka, plocka upp, schas, släppa, släppte
🫳🏼	avvisa, handflatan nedåt, handflatan nedåt: mellanljus hy, mellanljus hy, neka, plocka upp, schas, släppa, släppte
🫳🏽	avvisa, handflatan nedåt, handflatan nedåt: mellanfärgad hy, mellanfärgad hy, neka, plocka upp, schas, släppa, släppte
🫳🏾	avvisa, handflatan nedåt, handflatan nedåt: mellanmörk hy, mellanmörk hy, neka, plocka upp, schas, släppa, släppte
🫳🏿	avvisa, handflatan nedåt, handflatan nedåt: mörk hy, mörk hy, neka, plocka upp, schas, släppa, släppte
🫴	bjuda in, erbjuda, fånga, handflatan uppåt, kalla på, sträcka ut en hand
🫴🏻	bjuda in, erbjuda, fånga, handflatan uppåt, handflatan uppåt: ljus hy, kalla på, ljus hy, sträcka ut en hand
🫴🏼	bjuda in, erbjuda, fånga, handflatan uppåt, handflatan uppåt: mellanljus hy, kalla på, mellanljus hy, sträcka ut en hand
🫴🏽	bjuda in, erbjuda, fånga, handflatan uppåt, handflatan uppåt: mellanfärgad hy, kalla på, mellanfärgad hy, sträcka ut en hand
🫴🏾	bjuda in, erbjuda, fånga, handflatan uppåt, handflatan uppåt: mellanmörk hy, kalla på, mellanmörk hy, sträcka ut en hand
🫴🏿	bjuda in, erbjuda, fånga, handflatan uppåt, handflatan uppåt: mörk hy, kalla på, mörk hy, sträcka ut en hand
🫷	hand, hand som knuffar åt vänster, high five, neka, stanna, stopp, till vänster, trycka, vänta
🫷🏻	hand, hand som knuffar åt vänster, hand som knuffar åt vänster: ljus hy, high five, ljus hy, neka, stanna, stopp, till vänster, trycka, vänta
🫷🏼	hand, hand som knuffar åt vänster, hand som knuffar åt vänster: mellanljus hy, high five, mellanljus hy, neka, stanna, stopp, till vänster, trycka, vänta
🫷🏽	hand, hand som knuffar åt vänster, hand som knuffar åt vänster: mellanfärgad hy, high five, mellanfärgad hy, neka, stanna, stopp, till vänster, trycka, vänta
🫷🏾	hand, hand som knuffar åt vänster, hand som knuffar åt vänster: mellanmörk hy, high five, mellanmörk hy, neka, stanna, stopp, till vänster, trycka, vänta
🫷🏿	hand, hand som knuffar åt vänster, hand som knuffar åt vänster: mörk hy, high five, mörk hy, neka, stanna, stopp, till vänster, trycka, vänta
🫸	blockera, hand, hand som knuffar åt höger, high five, neka, pausa, stanna, stopp, till höger, trycka, vänta
🫸🏻	blockera, hand, hand som knuffar åt höger, hand som knuffar åt höger: ljus hy, high five, ljus hy, neka, pausa, stanna, stopp, till höger, trycka, vänta
🫸🏼	blockera, hand, hand som knuffar åt höger, hand som knuffar åt höger: mellanljus hy, high five, mellanljus hy, neka, pausa, stanna, stopp, till höger, trycka, vänta
🫸🏽	blockera, hand, hand som knuffar åt höger, hand som knuffar åt höger: mellanfärgad hy, high five, mellanfärgad hy, neka, pausa, stanna, stopp, till höger, trycka, vänta
🫸🏾	blockera, hand, hand som knuffar åt höger, hand som knuffar åt höger: mellanmörk hy, high five, mellanmörk hy, neka, pausa, stanna, stopp, till höger, trycka, vänta
🫸🏿	blockera, hand, hand som knuffar åt höger, hand som knuffar åt höger: mörk hy, high five, mörk hy, neka, pausa, stanna, stopp, till höger, trycka, vänta
👌	Instämmer, Javisst, OK, OK-tecken, Ok, hand, tecken
👌🏻	Instämmer, Javisst, OK, OK-tecken, OK-tecken: ljus hy, Ok, hand, ljus hy, tecken
👌🏼	Instämmer, Javisst, OK, OK-tecken, OK-tecken: mellanljus hy, Ok, hand, mellanljus hy, tecken
👌🏽	Instämmer, Javisst, OK, OK-tecken, OK-tecken: mellanfärgad hy, Ok, hand, mellanfärgad hy, tecken
👌🏾	Instämmer, Javisst, OK, OK-tecken, OK-tecken: mellanmörk hy, Ok, hand, mellanmörk hy, tecken
👌🏿	Instämmer, Javisst, OK, OK-tecken, OK-tecken: mörk hy, Ok, hand, mörk hy, tecken
🤌	fingerportmonnä, fingrar, förhör, handgest, nypa, sarkastisk
🤌🏻	fingerportmonnä, fingerportmonnä: ljus hy, fingrar, förhör, handgest, ljus hy, nypa, sarkastisk
🤌🏼	fingerportmonnä, fingerportmonnä: mellanljus hy, fingrar, förhör, handgest, mellanljus hy, nypa, sarkastisk
🤌🏽	fingerportmonnä, fingerportmonnä: mellanfärgad hy, fingrar, förhör, handgest, mellanfärgad hy, nypa, sarkastisk
🤌🏾	fingerportmonnä, fingerportmonnä: mellanmörk hy, fingrar, förhör, handgest, mellanmörk hy, nypa, sarkastisk
🤌🏿	fingerportmonnä, fingerportmonnä: mörk hy, fingrar, förhör, handgest, mörk hy, nypa, sarkastisk
🤏	liten mängd, nypande hand
🤏🏻	liten mängd, ljus hy, nypande hand, nypande hand: ljus hy
🤏🏼	liten mängd, mellanljus hy, nypande hand, nypande hand: mellanljus hy
🤏🏽	liten mängd, mellanfärgad hy, nypande hand, nypande hand: mellanfärgad hy
🤏🏾	liten mängd, mellanmörk hy, nypande hand, nypande hand: mellanmörk hy
🤏🏿	liten mängd, mörk hy, nypande hand, nypande hand: mörk hy
✌️	seger, v-tecken
✌🏻	ljus hy, seger, v-tecken, v-tecken: ljus hy
✌🏼	mellanljus hy, seger, v-tecken, v-tecken: mellanljus hy
✌🏽	mellanfärgad hy, seger, v-tecken, v-tecken: mellanfärgad hy
✌🏾	mellanmörk hy, seger, v-tecken, v-tecken: mellanmörk hy
✌🏿	mörk hy, seger, v-tecken, v-tecken: mörk hy
🤞	finger, hand, korsa, korsade fingrar, lycka
🤞🏻	finger, hand, korsa, korsade fingrar, korsade fingrar: ljus hy, ljus hy, lycka
🤞🏼	finger, hand, korsa, korsade fingrar, korsade fingrar: mellanljus hy, lycka, mellanljus hy
🤞🏽	finger, hand, korsa, korsade fingrar, korsade fingrar: mellanfärgad hy, lycka, mellanfärgad hy
🤞🏾	finger, hand, korsa, korsade fingrar, korsade fingrar: mellanmörk hy, lycka, mellanmörk hy
🤞🏿	finger, hand, korsa, korsade fingrar, korsade fingrar: mörk hy, lycka, mörk hy
🫰	dyrt, hand med tummen och pekfingret korsade, knäppa med fingrarna, pengaprassel, pengar, snäppa med fingrarna
🫰🏻	dyrt, hand med tummen och pekfingret korsade, hand med tummen och pekfingret korsade: ljus hy, knäppa med fingrarna, ljus hy, pengaprassel, pengar, snäppa med fingrarna
🫰🏼	dyrt, hand med tummen och pekfingret korsade, hand med tummen och pekfingret korsade: mellanljus hy, knäppa med fingrarna, mellanljus hy, pengaprassel, pengar, snäppa med fingrarna
🫰🏽	dyrt, hand med tummen och pekfingret korsade, hand med tummen och pekfingret korsade: mellanfärgad hy, knäppa med fingrarna, mellanfärgad hy, pengaprassel, pengar, snäppa med fingrarna
🫰🏾	dyrt, hand med tummen och pekfingret korsade, hand med tummen och pekfingret korsade: mellanmörk hy, knäppa med fingrarna, mellanmörk hy, pengaprassel, pengar, snäppa med fingrarna
🫰🏿	dyrt, hand med tummen och pekfingret korsade, hand med tummen och pekfingret korsade: mörk hy, knäppa med fingrarna, mörk hy, pengaprassel, pengar, snäppa med fingrarna
🤟	hand, jag älskar dig-gest
🤟🏻	hand, jag älskar dig-gest, jag älskar dig-gest: ljus hy, ljus hy
🤟🏼	hand, jag älskar dig-gest, jag älskar dig-gest: mellanljus hy, mellanljus hy
🤟🏽	hand, jag älskar dig-gest, jag älskar dig-gest: mellanfärgad hy, mellanfärgad hy
🤟🏾	hand, jag älskar dig-gest, jag älskar dig-gest: mellanmörk hy, mellanmörk hy
🤟🏿	hand, jag älskar dig-gest, jag älskar dig-gest: mörk hy, mörk hy
🤘	djävulstecken, djävulstecknet, hand, horn, hårdrock, rock, rocka loss
🤘🏻	djävulstecken, djävulstecknet, djävulstecknet: ljus hy, hand, horn, hårdrock, ljus hy, rock, rocka loss
🤘🏼	djävulstecken, djävulstecknet, djävulstecknet: mellanljus hy, hand, horn, hårdrock, mellanljus hy, rock, rocka loss
🤘🏽	djävulstecken, djävulstecknet, djävulstecknet: mellanfärgad hy, hand, horn, hårdrock, mellanfärgad hy, rock, rocka loss
🤘🏾	djävulstecken, djävulstecknet, djävulstecknet: mellanmörk hy, hand, horn, hårdrock, mellanmörk hy, rock, rocka loss
🤘🏿	djävulstecken, djävulstecknet, djävulstecknet: mörk hy, hand, horn, hårdrock, mörk hy, rock, rocka loss
🤙	hand, ring, ring mig-hand
🤙🏻	hand, ljus hy, ring, ring mig-hand, ring mig-hand: ljus hy
🤙🏼	hand, mellanljus hy, ring, ring mig-hand, ring mig-hand: mellanljus hy
🤙🏽	hand, mellanfärgad hy, ring, ring mig-hand, ring mig-hand: mellanfärgad hy
🤙🏾	hand, mellanmörk hy, ring, ring mig-hand, ring mig-hand: mellanmörk hy
🤙🏿	hand, mörk hy, ring, ring mig-hand, ring mig-hand: mörk hy
👈️	peka åt vänster, pekfinger, vänsterpekande finger
👈🏻	ljus hy, peka åt vänster, pekfinger, vänsterpekande finger, vänsterpekande finger: ljus hy
👈🏼	mellanljus hy, peka åt vänster, pekfinger, vänsterpekande finger, vänsterpekande finger: mellanljus hy
👈🏽	mellanfärgad hy, peka åt vänster, pekfinger, vänsterpekande finger, vänsterpekande finger: mellanfärgad hy
👈🏾	mellanmörk hy, peka åt vänster, pekfinger, vänsterpekande finger, vänsterpekande finger: mellanmörk hy
👈🏿	mörk hy, peka åt vänster, pekfinger, vänsterpekande finger, vänsterpekande finger: mörk hy
👉️	högerpekande finger, peka åt höger, pekfinger
👉🏻	högerpekande finger, högerpekande finger: ljus hy, ljus hy, peka åt höger, pekfinger
👉🏼	högerpekande finger, högerpekande finger: mellanljus hy, mellanljus hy, peka åt höger, pekfinger
👉🏽	högerpekande finger, högerpekande finger: mellanfärgad hy, mellanfärgad hy, peka åt höger, pekfinger
👉🏾	högerpekande finger, högerpekande finger: mellanmörk hy, mellanmörk hy, peka åt höger, pekfinger
👉🏿	högerpekande finger, högerpekande finger: mörk hy, mörk hy, peka åt höger, pekfinger
👆️	finger, hand som pekar pekfingret uppåt, peka uppåt, pekfinger, pekfinger upp
👆🏻	finger, hand som pekar pekfingret uppåt, ljus hy, peka uppåt, pekfinger, pekfinger upp, pekfinger upp: ljus hy
👆🏼	finger, hand som pekar pekfingret uppåt, mellanljus hy, peka uppåt, pekfinger, pekfinger upp, pekfinger upp: mellanljus hy
👆🏽	finger, hand som pekar pekfingret uppåt, mellanfärgad hy, peka uppåt, pekfinger, pekfinger upp, pekfinger upp: mellanfärgad hy
👆🏾	finger, hand som pekar pekfingret uppåt, mellanmörk hy, peka uppåt, pekfinger, pekfinger upp, pekfinger upp: mellanmörk hy
👆🏿	finger, hand som pekar pekfingret uppåt, mörk hy, peka uppåt, pekfinger, pekfinger upp, pekfinger upp: mörk hy
🖕	finger, hand, långfinger upp
🖕🏻	finger, hand, ljus hy, långfinger upp, långfinger upp: ljus hy
🖕🏼	finger, hand, långfinger upp, långfinger upp: mellanljus hy, mellanljus hy
🖕🏽	finger, hand, långfinger upp, långfinger upp: mellanfärgad hy, mellanfärgad hy
🖕🏾	finger, hand, långfinger upp, långfinger upp: mellanmörk hy, mellanmörk hy
🖕🏿	finger, hand, långfinger upp, långfinger upp: mörk hy, mörk hy
👇️	finger, nedåtpekande finger, peka nedåt, pekfinger
👇🏻	finger, ljus hy, nedåtpekande finger, nedåtpekande finger: ljus hy, peka nedåt, pekfinger
👇🏼	finger, mellanljus hy, nedåtpekande finger, nedåtpekande finger: mellanljus hy, peka nedåt, pekfinger
👇🏽	finger, mellanfärgad hy, nedåtpekande finger, nedåtpekande finger: mellanfärgad hy, peka nedåt, pekfinger
👇🏾	finger, mellanmörk hy, nedåtpekande finger, nedåtpekande finger: mellanmörk hy, peka nedåt, pekfinger
👇🏿	finger, mörk hy, nedåtpekande finger, nedåtpekande finger: mörk hy, peka nedåt, pekfinger
☝️	finger, finger upp, förmaning, peka
☝🏻	finger, finger upp, finger upp: ljus hy, förmaning, ljus hy, peka
☝🏼	finger, finger upp, finger upp: mellanljus hy, förmaning, mellanljus hy, peka
☝🏽	finger, finger upp, finger upp: mellanfärgad hy, förmaning, mellanfärgad hy, peka
☝🏾	finger, finger upp, finger upp: mellanmörk hy, förmaning, mellanmörk hy, peka
☝🏿	finger, finger upp, finger upp: mörk hy, förmaning, mörk hy, peka
🫵	du, finger som pekar mot tittaren, finger som pekar på mig, mig, peka
🫵🏻	du, finger som pekar mot tittaren, finger som pekar på mig, finger som pekar på mig: ljus hy, ljus hy, mig, peka
🫵🏼	du, finger som pekar mot tittaren, finger som pekar på mig, finger som pekar på mig: mellanljus hy, mellanljus hy, mig, peka
🫵🏽	du, finger som pekar mot tittaren, finger som pekar på mig, finger som pekar på mig: mellanfärgad hy, mellanfärgad hy, mig, peka
🫵🏾	du, finger som pekar mot tittaren, finger som pekar på mig, finger som pekar på mig: mellanmörk hy, mellanmörk hy, mig, peka
🫵🏿	du, finger som pekar mot tittaren, finger som pekar på mig, finger som pekar på mig: mörk hy, mig, mörk hy, peka
👍️	bra, gillar, ok, okej, tumme, tummen upp, upp
👍🏻	bra, gillar, ljus hy, ok, okej, tumme, tummen upp, tummen upp: ljus hy, upp
