‾	pārsvītrojums, vinkuls, virssvītrojums
😖	aizkaitinājums, apmulsis, apmulsums, apmulsusi seja, dusmas, seja, skumjas
😣	koncentrēšanās, neatlaidīgs, pacietīgs, piepūle, piepūlēta seja, seja
😞	seja, skumjas, vaina, vīlies, vīlusies seja
😓	auksts, galvassāpes, nervozs, seja, seja ar aukstu sviedru lāsi, sviedri
😩	izsalcis, nelaimīgs, nogurdināta seja, noguris, seja
😫	nogurums, nogurusi seja, seja, skumja, šķaudīt
🥱	garlaikots, miegains, nogurdināts, seja, seja žāvājas, smaidiņš, žāvas
😤	dusmas, seja, seja ar tvaiku no deguna, tvaiks
😡	dusmas, dusmīgs, sabozies, sabozusies seja, seja
😠	dusmīga seja, dusmīgs, nelaimīgs, seja, vainot
🤬	dusmīgs, lamāšanās, nikns, seja, seja ar simboliem uz mutes, smaidiņš
😈	ragi, seja, smaidoša seja ar ragiem, smaids, velns
👿	dusmīgs, dēmons, ragi, seja, velniņš, velns
💀	briesmonis, galva, galvaskauss, nāve
☠️	galva, galvaskauss, jautrais Rodžers, kauli, miroņgalva, nāve
💩	briesmonis, ekskrementi, kakas, mēslu čupa, smieklīgs, smirdīgs, čupa
🤡	klauna seja, klauns, seja
👹	briesmonis, cilvēkēdājs, fantāzija, monstrs, pasaka, radījums, seja
👺	briesmonis, fantāzija, goblins, monstrs, pasaka, radījums, seja
👻	briesmonis, fantāzija, monstrs, pasaka, radījums, seja, smieklīgs, spoks
👽️	NLO, briesmonis, citplanētietis, kosmoss, visums
👾	NLO, briesmonis, citplanētietis, citplanētiešu briesmonis, kosmoss, visums
🤖	monstrs, robots, seja
😺	atvērts, dzīvnieks, galva, kaķis, mute, plati smaidošs kaķis, plats smaids, smaids
😸	acis, dzīvnieks, kaķis, plati smaidošs kaķis ar smaidošām acīm, plats smaids, seja, smaids
😹	asaras, kaķis, kaķis ar prieka asarām, prieks, seja
😻	acis, dzīvnieks, kaķis, mīlestība, seja, sirds, smaidošs kaķis ar sirds formas acīm, smaids
😼	dzīvnieks, ironisks, kaķis, kaķis ar viltīgu smaidu, seja, smaids, sājš, viltīgs
😽	acis, dzīvnieks, kaķis, kaķis sniedz skūpstu, seja, skūpsts
🙀	ak, dzīvnieks, kaķis, noraizējies, noraizējies kaķis, pārsteigts, seja
😿	asaras, dzīvnieks, kaķis, raudošs kaķis, raudāt, seja, skumjš
😾	dzīvnieks, kaķis, sabozies, sabozies kaķis, seja
🙈	aizliegts, dzīvnieks, galva, nedrīkst, neko neredzu, neredzu, nē, pērtiķis, redzēt, ļauns, žests
🙉	aizliegts, dzirdēt, dzīvnieks, galva, nedrīkst, nedzirdu, neko nedzirdu, nē, pērtiķis, ļauns, žests
🙊	aizliegts, dzīvnieks, galva, klusēt, nedrīkst, neko nesaku, nē, pērtiķis, runāt, ļauns, žests
💌	mīlestība, mīlestības vēstule, pasts, romantika, sirds, vēstule
💘	bulta, mīlestība, romantika, sirds, sirds ar bultu
💝	Valentīndiena, lentīte, sirds, sirds ar lentīti
💖	mirdzoša sirds, mirdzēt, sirds, spīdēt
💗	augoša sirds, emocijas, sirds, sirdspuksti, uztraukums
💓	mīlestība, pukstoša sirds, pukstēt, sirds, sirdspuksti
💞	emocijas, gadadiena, mīlestība, rotējošas sirdis, sirds
💕	divas sirdis, emocijas, mīlestība, sirds
💟	balta sirds, lillā sirds, sirds, sirds rotājums, violeta sirds
❣️	izsaukuma zīme sirds formā, izsaukums, pieturzīme, sirds
💔	salauzt, salauzta sirds, sirds, skumjas
❤‍🔥	degoša sirds, kaisle, liesmas, mīla, sirds, svēta sirds
❤‍🩹	atkopties, atspirgt, labi, pārsiet, pārsieta sirds, uzlabot, veselību
❤️	mīlestība, sarkana sirds, sarkans, sirds
🩷	jauka, mīlestība, patīk, rozā, rozā sirds, sirds
🧡	mīlu, oranža sirds, oranžs, sirds
💛	dzeltena sirds, dzeltens, emocijas, mīlu, sirds
💚	sirds, zaļa sirds, zaļš
💙	mīlestība, sirds, zila sirds, zils
