‾	pārsvītrojums, vinkuls, virssvītrojums
🩵	ciānzils, gaiši zila sirds, gaiši zils, sirds, zilganzaļš
💜	lillā sirds, mīlu, sirds, violeta sirds, violets
🤎	brūna, brūna sirds, mīlu, sirds
🖤	melna, melna sirds, sirds, ļaunums
🩶	pelēka sirds, pelēks, sirds, sudrabs, šīferis
🤍	balta, balta sirds, mīlu, sirds
💋	lūpas, lūpukrāsa, nospiedums, skūpsta nospiedums, skūpsts
💯	100, noteikti, piekrītu, simt, simt punktu, simts
💢	dusmas, dusmu simbols, dusmīgs, komikss
💥	bums, sadursme, sprādziens, troksnis
💫	apdullis, krītoša, zvaigzne
💦	lāses, sviedri, sviedru lāses, vingrošana, ūdens
💨	bēgt, bēgšana, dūmi, purkšķis, skriešana
🕳️	atvere, caurums
💬	burbulis, dialogs, raksta, runa, runas burbulis
👁‍🗨	acs, liecinieka zīme, liecinieks, runas burbulis
🗨️	burbulis, dialogs, komikss, pa kreisi vērsts runas burbulis, runa
🗯️	burbulis, dialogs, dusmīgs, pa labi vērsts dusmu burbulis, runa
💭	burbulis, domas, domu burbulis
💤	ar labu nakti, gulēt, miegains, miegs, nogurums, zzz
👋	atā, mājoša roka, māt, roka, sveiciens, sveiki, ķermenis
👋🏻	atā, gaišs ādas tonis, mājoša roka, mājoša roka: gaišs ādas tonis, māt, roka, sveiciens, sveiki, ķermenis
👋🏼	atā, mājoša roka, mājoša roka: vidēji gaišs ādas tonis, māt, roka, sveiciens, sveiki, vidēji gaišs ādas tonis, ķermenis
👋🏽	atā, mājoša roka, mājoša roka: vidējs ādas tonis, māt, roka, sveiciens, sveiki, vidējs ādas tonis, ķermenis
👋🏾	atā, mājoša roka, mājoša roka: vidēji tumšs ādas tonis, māt, roka, sveiciens, sveiki, vidēji tumšs ādas tonis, ķermenis
👋🏿	atā, mājoša roka, mājoša roka: tumšs ādas tonis, māt, roka, sveiciens, sveiki, tumšs ādas tonis, ķermenis
🤚	pacelta, pacelta plauksta, plauksta, roka
🤚🏻	gaišs ādas tonis, pacelta, pacelta plauksta: gaišs ādas tonis, plauksta, roka
🤚🏼	pacelta, pacelta plauksta: vidēji gaišs ādas tonis, plauksta, roka, vidēji gaišs ādas tonis
🤚🏽	pacelta, pacelta plauksta: vidējs ādas tonis, plauksta, roka, vidējs ādas tonis
🤚🏾	pacelta, pacelta plauksta: vidēji tumšs ādas tonis, plauksta, roka, vidēji tumšs ādas tonis
🤚🏿	pacelta, pacelta plauksta: tumšs ādas tonis, plauksta, roka, tumšs ādas tonis
🖐️	izvērsts, pacelta roka ar izvērstiem pirkstiem, pirksts, plauksta, roka, ķermenis
🖐🏻	gaišs ādas tonis, izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: gaišs ādas tonis, pirksts, plauksta, roka, ķermenis
🖐🏼	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidēji gaišs ādas tonis, pirksts, plauksta, roka, vidēji gaišs ādas tonis, ķermenis
🖐🏽	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidējs ādas tonis, pirksts, plauksta, roka, vidējs ādas tonis, ķermenis
🖐🏾	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidēji tumšs ādas tonis, pirksts, plauksta, roka, vidēji tumšs ādas tonis, ķermenis
🖐🏿	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: tumšs ādas tonis, pirksts, plauksta, roka, tumšs ādas tonis, ķermenis
✋️	pacelta roka, plauksta, roka, ķermenis
✋🏻	gaišs ādas tonis, pacelta roka, pacelta roka: gaišs ādas tonis, plauksta, roka, ķermenis
✋🏼	pacelta roka, pacelta roka: vidēji gaišs ādas tonis, plauksta, roka, vidēji gaišs ādas tonis, ķermenis
✋🏽	pacelta roka, pacelta roka: vidējs ādas tonis, plauksta, roka, vidējs ādas tonis, ķermenis
✋🏾	pacelta roka, pacelta roka: vidēji tumšs ādas tonis, plauksta, roka, vidēji tumšs ādas tonis, ķermenis
✋🏿	pacelta roka, pacelta roka: tumšs ādas tonis, plauksta, roka, tumšs ādas tonis, ķermenis
🖖	Spoks, Vulkāns, pirksti, pirksts, roka, vulkāniešu sveiciens, ķermenis
🖖🏻	Spoks, Vulkāns, gaišs ādas tonis, pirksti, pirksts, roka, vulkāniešu sveiciens, vulkāniešu sveiciens: gaišs ādas tonis, ķermenis
🖖🏼	Spoks, Vulkāns, pirksti, pirksts, roka, vidēji gaišs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidēji gaišs ādas tonis, ķermenis
🖖🏽	Spoks, Vulkāns, pirksti, pirksts, roka, vidējs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidējs ādas tonis, ķermenis
🖖🏾	Spoks, Vulkāns, pirksti, pirksts, roka, vidēji tumšs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidēji tumšs ādas tonis, ķermenis
🖖🏿	Spoks, Vulkāns, pirksti, pirksts, roka, tumšs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: tumšs ādas tonis, ķermenis
🫱	labā roka, pa labi, pareizi, roka, rokasspiediens, sniegties, turēt
🫱🏻	gaišs ādas tonis, labā roka, labā roka: gaišs ādas tonis, pa labi, pareizi, roka, rokasspiediens, sniegties, turēt
🫱🏼	labā roka, labā roka: vidēji gaišs ādas tonis, pa labi, pareizi, roka, rokasspiediens, sniegties, turēt, vidēji gaišs ādas tonis
🫱🏽	labā roka, labā roka: vidējs ādas tonis, pa labi, pareizi, roka, rokasspiediens, sniegties, turēt, vidējs ādas tonis
🫱🏾	labā roka, labā roka: vidēji tumšs ādas tonis, pa labi, pareizi, roka, rokasspiediens, sniegties, turēt, vidēji tumšs ādas tonis
🫱🏿	labā roka, labā roka: tumšs ādas tonis, pa labi, pareizi, roka, rokasspiediens, sniegties, tumšs ādas tonis, turēt
🫱🏻‍🫲🏼	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: gaišs ādas tonis un vidēji gaišs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis
🫱🏻‍🫲🏽	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: gaišs ādas tonis un vidējs ādas tonis, sarokoties, tikšanās, vidējs ādas tonis
🫱🏻‍🫲🏾	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: gaišs ādas tonis un vidēji tumšs ādas tonis, sarokoties, tikšanās, vidēji tumšs ādas tonis
🫱🏻‍🫲🏿	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: gaišs ādas tonis un tumšs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis
🫱🏼‍🫲🏻	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: vidēji gaišs ādas tonis un gaišs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis
🫱🏼‍🫲🏽	līgums, roka, rokasspiediens, rokasspiediens: vidēji gaišs ādas tonis un vidējs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis, vidējs ādas tonis
🫱🏼‍🫲🏾	līgums, roka, rokasspiediens, rokasspiediens: vidēji gaišs ādas tonis un vidēji tumšs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
🫱🏼‍🫲🏿	līgums, roka, rokasspiediens, rokasspiediens: vidēji gaišs ādas tonis un tumšs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidēji gaišs ādas tonis
🫱🏽‍🫲🏻	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: vidējs ādas tonis un gaišs ādas tonis, sarokoties, tikšanās, vidējs ādas tonis
🫱🏽‍🫲🏼	līgums, roka, rokasspiediens, rokasspiediens: vidējs ādas tonis un vidēji gaišs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis, vidējs ādas tonis
🫱🏽‍🫲🏾	līgums, roka, rokasspiediens, rokasspiediens: vidējs ādas tonis un vidēji tumšs ādas tonis, sarokoties, tikšanās, vidēji tumšs ādas tonis, vidējs ādas tonis
🫱🏽‍🫲🏿	līgums, roka, rokasspiediens, rokasspiediens: vidējs ādas tonis un tumšs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidējs ādas tonis
🫱🏾‍🫲🏻	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: vidēji tumšs ādas tonis un gaišs ādas tonis, sarokoties, tikšanās, vidēji tumšs ādas tonis
🫱🏾‍🫲🏼	līgums, roka, rokasspiediens, rokasspiediens: vidēji tumšs ādas tonis un vidēji gaišs ādas tonis, sarokoties, tikšanās, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
🫱🏾‍🫲🏽	līgums, roka, rokasspiediens, rokasspiediens: vidēji tumšs ādas tonis un vidējs ādas tonis, sarokoties, tikšanās, vidēji tumšs ādas tonis, vidējs ādas tonis
🫱🏾‍🫲🏿	līgums, roka, rokasspiediens, rokasspiediens: vidēji tumšs ādas tonis un tumšs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidēji tumšs ādas tonis
🫱🏿‍🫲🏻	gaišs ādas tonis, līgums, roka, rokasspiediens, rokasspiediens: tumšs ādas tonis un gaišs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis
🫱🏿‍🫲🏼	līgums, roka, rokasspiediens, rokasspiediens: tumšs ādas tonis un vidēji gaišs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidēji gaišs ādas tonis
🫱🏿‍🫲🏽	līgums, roka, rokasspiediens, rokasspiediens: tumšs ādas tonis un vidējs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidējs ādas tonis
🫱🏿‍🫲🏾	līgums, roka, rokasspiediens, rokasspiediens: tumšs ādas tonis un vidēji tumšs ādas tonis, sarokoties, tikšanās, tumšs ādas tonis, vidēji tumšs ādas tonis
🫲	kreiso roku, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, turēt
🫲🏻	gaišs ādas tonis, kreiso roku, kreiso roku: gaišs ādas tonis, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, turēt
🫲🏼	kreiso roku, kreiso roku: vidēji gaišs ādas tonis, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, turēt, vidēji gaišs ādas tonis
🫲🏽	kreiso roku, kreiso roku: vidējs ādas tonis, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, turēt, vidējs ādas tonis
🫲🏾	kreiso roku, kreiso roku: vidēji tumšs ādas tonis, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, turēt, vidēji tumšs ādas tonis
🫲🏿	kreiso roku, kreiso roku: tumšs ādas tonis, kreisā roka, pa kreisi, roka, rokasspiediens, sniegties, tumšs ādas tonis, turēt
🫳	atlaist, nomest, pacelt, plauksta uz leju, plaukstu uz leju, shoo
🫳🏻	atlaist, gaišs ādas tonis, nomest, pacelt, plauksta uz leju, plaukstu uz leju, plaukstu uz leju: gaišs ādas tonis, shoo
🫳🏼	atlaist, nomest, pacelt, plauksta uz leju, plaukstu uz leju, plaukstu uz leju: vidēji gaišs ādas tonis, shoo, vidēji gaišs ādas tonis
🫳🏽	atlaist, nomest, pacelt, plauksta uz leju, plaukstu uz leju, plaukstu uz leju: vidējs ādas tonis, shoo, vidējs ādas tonis
🫳🏾	atlaist, nomest, pacelt, plauksta uz leju, plaukstu uz leju, plaukstu uz leju: vidēji tumšs ādas tonis, shoo, vidēji tumšs ādas tonis
🫳🏿	atlaist, nomest, pacelt, plauksta uz leju, plaukstu uz leju, plaukstu uz leju: tumšs ādas tonis, shoo, tumšs ādas tonis
🫴	aicināt, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu
🫴🏻	aicināt, gaišs ādas tonis, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu, plaukstu uz augšu: gaišs ādas tonis
🫴🏼	aicināt, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu, plaukstu uz augšu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🫴🏽	aicināt, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu, plaukstu uz augšu: vidējs ādas tonis, vidējs ādas tonis
🫴🏾	aicināt, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu, plaukstu uz augšu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🫴🏿	aicināt, nāc, pacelt, pastāsti man, piedāvājums, plaukstu uz augšu, plaukstu uz augšu: tumšs ādas tonis, tumšs ādas tonis
🫷	atteikt, dod pieci, gaidīt, pa kreisi, pa kreisi spiedoša roka, stop, stumt
🫷🏻	atteikt, dod pieci, gaidīt, gaišs ādas tonis, pa kreisi, pa kreisi spiedoša roka, pa kreisi spiedoša roka: gaišs ādas tonis, stop, stumt
🫷🏼	atteikt, dod pieci, gaidīt, pa kreisi, pa kreisi spiedoša roka, pa kreisi spiedoša roka: vidēji gaišs ādas tonis, stop, stumt, vidēji gaišs ādas tonis
🫷🏽	atteikt, dod pieci, gaidīt, pa kreisi, pa kreisi spiedoša roka, pa kreisi spiedoša roka: vidējs ādas tonis, stop, stumt, vidējs ādas tonis
🫷🏾	atteikt, dod pieci, gaidīt, pa kreisi, pa kreisi spiedoša roka, pa kreisi spiedoša roka: vidēji tumšs ādas tonis, stop, stumt, vidēji tumšs ādas tonis
🫷🏿	atteikt, dod pieci, gaidīt, pa kreisi, pa kreisi spiedoša roka, pa kreisi spiedoša roka: tumšs ādas tonis, stop, stumt, tumšs ādas tonis
🫸	Vote atteikt, dod pieci, gaidīt, pa labi, pa labi spiedoša roka, stop, stumt
🫸🏻	Vote atteikt, dod pieci, gaidīt, gaišs ādas tonis, pa labi, pa labi spiedoša roka, pa labi spiedoša roka: gaišs ādas tonis, stop, stumt
🫸🏼	Vote atteikt, dod pieci, gaidīt, pa labi, pa labi spiedoša roka, pa labi spiedoša roka: vidēji gaišs ādas tonis, stop, stumt, vidēji gaišs ādas tonis
🫸🏽	Vote atteikt, dod pieci, gaidīt, pa labi, pa labi spiedoša roka, pa labi spiedoša roka: vidējs ādas tonis, stop, stumt, vidējs ādas tonis
🫸🏾	Vote atteikt, dod pieci, gaidīt, pa labi, pa labi spiedoša roka, pa labi spiedoša roka: vidēji tumšs ādas tonis, stop, stumt, vidēji tumšs ādas tonis
🫸🏿	Vote atteikt, dod pieci, gaidīt, pa labi, pa labi spiedoša roka, pa labi spiedoša roka: tumšs ādas tonis, stop, stumt, tumšs ādas tonis
👌	labi, lieliski, ok, roka, sapratu, simbols OK, ķermenis
👌🏻	gaišs ādas tonis, labi, lieliski, ok, roka, sapratu, simbols OK, simbols OK: gaišs ādas tonis, ķermenis
👌🏼	labi, lieliski, ok, roka, sapratu, simbols OK, simbols OK: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
👌🏽	labi, lieliski, ok, roka, sapratu, simbols OK, simbols OK: vidējs ādas tonis, vidējs ādas tonis, ķermenis
👌🏾	labi, lieliski, ok, roka, sapratu, simbols OK, simbols OK: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
👌🏿	labi, lieliski, ok, roka, sapratu, simbols OK, simbols OK: tumšs ādas tonis, tumšs ādas tonis, ķermenis
🤌	pastiepti pirksti, pirksti, rokas žests, sarkastisks, saspiests
🤌🏻	gaišs ādas tonis, pastiepti pirksti, pastiepti pirksti: gaišs ādas tonis, pirksti, rokas žests, sarkastisks, saspiests
🤌🏼	pastiepti pirksti, pastiepti pirksti: vidēji gaišs ādas tonis, pirksti, rokas žests, sarkastisks, saspiests, vidēji gaišs ādas tonis
🤌🏽	pastiepti pirksti, pastiepti pirksti: vidējs ādas tonis, pirksti, rokas žests, sarkastisks, saspiests, vidējs ādas tonis
🤌🏾	pastiepti pirksti, pastiepti pirksti: vidēji tumšs ādas tonis, pirksti, rokas žests, sarkastisks, saspiests, vidēji tumšs ādas tonis
🤌🏿	pastiepti pirksti, pastiepti pirksti: tumšs ādas tonis, pirksti, rokas žests, sarkastisks, saspiests, tumšs ādas tonis
🤏	drusciņ, maz, nedaudz, roka, roka rāda drusciņu
🤏🏻	drusciņ, gaišs ādas tonis, maz, nedaudz, roka, roka rāda drusciņu, roka rāda drusciņu: gaišs ādas tonis
🤏🏼	drusciņ, maz, nedaudz, roka, roka rāda drusciņu, roka rāda drusciņu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🤏🏽	drusciņ, maz, nedaudz, roka, roka rāda drusciņu, roka rāda drusciņu: vidējs ādas tonis, vidējs ādas tonis
🤏🏾	drusciņ, maz, nedaudz, roka, roka rāda drusciņu, roka rāda drusciņu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🤏🏿	drusciņ, maz, nedaudz, roka, roka rāda drusciņu, roka rāda drusciņu: tumšs ādas tonis, tumšs ādas tonis
✌️	miers, roka, uzvara, uzvaras simbols, ķermenis
✌🏻	gaišs ādas tonis, miers, roka, uzvara, uzvaras simbols, uzvaras simbols: gaišs ādas tonis, ķermenis
✌🏼	miers, roka, uzvara, uzvaras simbols, uzvaras simbols: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
✌🏽	miers, roka, uzvara, uzvaras simbols, uzvaras simbols: vidējs ādas tonis, vidējs ādas tonis, ķermenis
✌🏾	miers, roka, uzvara, uzvaras simbols, uzvaras simbols: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
✌🏿	miers, roka, tumšs ādas tonis, uzvara, uzvaras simbols, uzvaras simbols: tumšs ādas tonis, ķermenis
🤞	pirksts, roka, sakrustot, sakrustoti pirksti, turēt īkšķus, veiksme
🤞🏻	gaišs ādas tonis, pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: gaišs ādas tonis, turēt īkšķus, veiksme
🤞🏼	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidēji gaišs ādas tonis, turēt īkšķus, veiksme, vidēji gaišs ādas tonis
🤞🏽	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidējs ādas tonis, turēt īkšķus, veiksme, vidējs ādas tonis
🤞🏾	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidēji tumšs ādas tonis, turēt īkšķus, veiksme, vidēji tumšs ādas tonis
🤞🏿	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: tumšs ādas tonis, tumšs ādas tonis, turēt īkšķus, veiksme
🫰	dārgs, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, sirds
🫰🏻	dārgs, gaišs ādas tonis, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, roka ar rādītājpirkstu un īkšķi sakrustota: gaišs ādas tonis, sirds
🫰🏼	dārgs, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, roka ar rādītājpirkstu un īkšķi sakrustota: vidēji gaišs ādas tonis, sirds, vidēji gaišs ādas tonis
🫰🏽	dārgs, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, roka ar rādītājpirkstu un īkšķi sakrustota: vidējs ādas tonis, sirds, vidējs ādas tonis
🫰🏾	dārgs, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, roka ar rādītājpirkstu un īkšķi sakrustota: vidēji tumšs ādas tonis, sirds, vidēji tumšs ādas tonis
🫰🏿	dārgs, knipis, mīlestība, nauda, roka ar rādītājpirkstu un īkšķi sakrustota, roka ar rādītājpirkstu un īkšķi sakrustota: tumšs ādas tonis, sirds, tumšs ādas tonis
🤟	EMT, mīlas žests, roka
🤟🏻	EMT, gaišs ādas tonis, mīlas žests, mīlas žests: gaišs ādas tonis, roka
🤟🏼	EMT, mīlas žests, mīlas žests: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis
🤟🏽	EMT, mīlas žests, mīlas žests: vidējs ādas tonis, roka, vidējs ādas tonis
🤟🏾	EMT, mīlas žests, mīlas žests: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis
🤟🏿	EMT, mīlas žests, mīlas žests: tumšs ādas tonis, roka, tumšs ādas tonis
🤘	Dio, pirksts, ragi, ragu simbols, roka, rokmūzika, smagais metāls
🤘🏻	Dio, gaišs ādas tonis, pirksts, ragi, ragu simbols, ragu simbols: gaišs ādas tonis, roka, rokmūzika, smagais metāls
🤘🏼	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidēji gaišs ādas tonis, roka, rokmūzika, smagais metāls, vidēji gaišs ādas tonis
🤘🏽	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidējs ādas tonis, roka, rokmūzika, smagais metāls, vidējs ādas tonis
🤘🏾	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidēji tumšs ādas tonis, roka, rokmūzika, smagais metāls, vidēji tumšs ādas tonis
🤘🏿	Dio, pirksts, ragi, ragu simbols, ragu simbols: tumšs ādas tonis, roka, rokmūzika, smagais metāls, tumšs ādas tonis
