‾	надчеркивание
😦	в изумлении, изумление, испуг, неприятный, ого, омг, страх, сюрприз, устал
😧	боль, забыл, испуг, неприятный, омг, страдает, страдаю, стресс, сюрприз, удивление
😨	беспокоится, боится, боюсь, волнуюсь, жуть, испуг, омг, страх
😰	беспокоюсь, волнуюсь, грусть, замерз, плакать, плач, пот, сильно беспокоится, страх, холодно
😥	беспокоюсь, грустно, облегчение, обошлось, плач, пот, пронесло, разочарован, тревога, фух
😢	грустный, жаль, обидно, печаль, плакать, плач, плачет, слеза
😭	за, навзрыд, несчастный, плач, почему, реветь, рекой, слезы, слезы рекой, что
😱	в ужасе, испуг, крик, кричать, нет, омг, страх, ужас, шок
😖	в растерянности, гадость, кринж, невкусно, непонятно, неприятно, растерян, сбит, толку, фу
😣	боль, головная, достало, мигрень, настойчивость, упорный, упорство, упрямый, хватит
😞	виноват, грустно, жаль, лузер, неудача, обида, обижен, печаль, разочарован, разочарование, устал
😓	беспокойство, боль, в холодном поту, волнуюсь, головная, депресняк, нервничаю, поту, уныние, холодном
😩	гадость, достало, надоело, нет, плач, сил, устал, усталость, фу, хватит
😫	достало, надоело, очень, сильная усталость, сильно, спать, устал, фу, хватит
🥱	боковую, зевает, ночи, поздно, скука, скучно, спать, спокойной, устал
😤	бешенстве, в ожидании успеха, дым, зла, злость, зол, пар, пыхтеть, раздражение
😡	бешенство, злится, злой, кипит, красный, ненавижу, рак, рассержен, сердится, ярость
😠	бешенство, злиться, злость, рассержен, сердится, хмурится
🤬	браниться, брань, мат, материться, ругань, ругаться, цензура
😈	дьявол, зло, злорадная, рога, рожки, улыбающийся чертенок, улыбка, черт
👿	грусть, демон, дьявол, зло, злой чертенок, расстроен, рога, рожки, хмурится, черт
💀	кости, мертвый, могила, монстр, смерть, умереть, череп
☠️	конец, кости, метка, опасно, пират, смерть, умереть, флаг, череп, череп и кости
💩	вонючка, воняет, говно, кака, какашка, куча, улыбка, фу, шутка
🤡	арлекин, клоун, смех, смешно, улыбка, цирк, шут
👹	дракон, змей, карнавал, лицо, мифология, монстр, нечисть, страх, существо, чудовище, японский
